update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R
959,1.6,0.5213260650634766,None,"('N', 'o', 'n', 'e')",None
1379,0.54,0.5269463062286377,None,"('N', 'o', 'n', 'e')",None
1806,0.57,0.5525960922241211,None,"('N', 'o', 'n', 'e')",None
2222,0.55,0.5348660945892334,None,"('N', 'o', 'n', 'e')",None
2644,0.58,0.5582783222198486,None,"('N', 'o', 'n', 'e')",None
3066,0.54,0.5253713130950928,None,"('N', 'o', 'n', 'e')",None
3488,0.54,0.5233149528503418,None,"('N', 'o', 'n', 'e')",None
3894,0.55,0.5305347442626953,None,"('N', 'o', 'n', 'e')",None
