update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
992,1.51,1.4042515754699707,[-17.4363338   -1.94581844 110.        ],"(-9, -1, 11)","[3, 9, 0, 7]","[(10, 0.3), (0, 0.7), (0, 0.3), (0, 0.7)]"
1328,1.39,0.9671368598937988,[-10.17698469   5.0458393  112.        ],"(-6, 2, 11)","[14, 1, 3, 2]","[(10, 0.7), (10, 0.3), (10, 0.3), (10, 0.3)]"
1663,1.19,0.7858767509460449,[-10.5444914    0.17896681 112.        ],"(-6, 0, 11)","[9, 7, 10, 11]","[(0, 0.7), (0, 0.7), (0, 0.7), (0, 0.7)]"
1987,1.34,0.883413553237915,[ -9.35377785   2.42505963 109.        ],"(-5, 1, 10)","[14, 1, 7, 15]","[(10, 0.7), (10, 0.3), (10, 0.7), (10, 0.7)]"
2320,1.36,0.8890988826751709,[ -8.92363732   1.9099518  111.5       ],"(-5, 0, 11)","[9, 10, 11, 3]","[(0, 0.7), (0, 0.7), (0, 0.7), (10, 0.3)]"
2658,1.37,0.893221378326416,[-11.15905124  -1.55050933 111.        ],"(-6, -1, 11)","[14, 1, 16, 9]","[(10, 0.7), (10, 0.3), (10, 0.7), (0, 0.7)]"
2989,1.26,0.7737886905670166,[-11.65674214  -2.11351196 110.        ],"(-6, -2, 11)","[9, 10, 3]","[(0, 0.7), (0, 0.7), (10, 0.3)]"
3314,1.46,0.8978419303894043,[ -9.68517914   0.58872687 107.        ],"(-5, 0, 10)","[1, 9, 14, 16]","[(10, 0.3), (10, 0.7), (10, 0.7), (10, 0.7)]"
3633,1.46,0.9877917766571045,[ -9.17691647  -2.68976372 104.        ],"(-5, -2, 10)","[10, 4, 11, 0]","[(0, 0.7), (0, 0.3), (0, 0.7), (0, 0.3)]"
