timestamp,mtr_pos_L,mtr_pos_R,mtr_vel_L,mtr_vel_R,GRF_L,GRF_R,CoP_L,CoP_R,gpio_output
10.000000476837158,16.1,-7.300000000000001,-51.83627878423159,1.0471975511965976,1.0245112873768263,0.0,0.0879230797290802,0.0,0.0
10.010000467300415,15.200000000000003,-7.200000000000001,-50.09094953223726,0.6981317007977318,1.0245112873768263,0.0,0.0879230797290802,0.0,1.0
10.02000093460083,14.400000000000002,-7.200000000000001,-45.20402762665314,2.2689280275926285,1.0265851968654434,0.0,0.07786868512630463,0.0,1.0
10.030000686645508,13.600000000000001,-7.0,-42.76056667386107,9.42477796076938,1.0265851968654434,0.0,0.07786868512630463,0.0,1.0
10.040000677108765,12.8,-6.600000000000001,-37.52457891787809,18.675022996339326,1.0265851968654434,0.0,0.07786868512630463,0.0,1.0
10.050000667572021,12.300000000000002,-6.1000000000000005,-33.510321638291124,27.22713633111154,1.0203634683995921,0.0,0.0634390264749527,0.0,1.0
10.060000658035278,11.700000000000001,-5.4,-30.368728984701335,38.571776469074685,1.0203634683995921,0.0,0.0634390264749527,0.0,1.0
10.070000648498535,11.3,-4.7,-26.17993877991494,37.35004599267865,1.0203634683995921,0.0,0.0634390264749527,0.0,1.0
10.080000638961792,10.9,-4.1,-20.07128639793479,33.510321638291124,1.0110308757008155,0.0,0.05171795189380646,0.0,1.0
10.090000629425049,10.700000000000001,-3.5,-16.05702911834783,33.68485456349056,1.0110308757008155,0.0,0.05171795189380646,0.0,1.0
10.100000619888306,10.5,-3.0,-9.599310885968812,26.17993877991494,1.0110308757008155,0.0,0.05171795189380646,0.0,1.0
10.110000610351562,10.299999999999999,-2.8000000000000007,-8.203047484373348,16.406094968746697,1.0245112873768263,0.0,0.0450080968439579,0.0,1.0
10.12000060081482,10.299999999999999,-2.5,-2.792526803190927,16.406094968746697,1.0245112873768263,0.0,0.0450080968439579,0.0,1.0
10.130000591278076,10.299999999999999,-2.0,-1.7453292519943295,23.736477827122883,1.0245112873768263,0.0,0.0450080968439579,0.0,1.0
10.140000343322754,10.299999999999999,-1.5,0.0,30.7177948351002,1.0245112873768263,0.0,0.0450080968439579,0.0,1.0
