update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
986,1.45,1.2841122150421143,[-17.4363338   -1.94581844 107.5       ],"(-9, -1, 10)",[14  1  9 11],"[[ 10.    0.7]
 [  0.    0.3]
 [ 10.    0.7]
 [-10.    0.7]]"
1324,1.72,0.9216012954711914,[-10.12277105   3.41987462 114.5       ],"(-6, 1, 11)",[21 16 15 19],"[[-10.    0.7]
 [ 10.    0.7]
 [-10.    0.7]
 [ 10.    0.7]]"
1652,1.86,0.9868488311767578,[-11.57843356   0.57628039 108.        ],"(-6, 0, 10)",[14  1  9 11],"[[ 10.    0.7]
 [  0.    0.3]
 [ 10.    0.7]
 [-10.    0.7]]"
1984,1.81,0.9908227920532227,[-11.04854712   1.00595007 110.5       ],"(-6, 0, 11)",[21  0 10 16],"[[-10.    0.7]
 [  0.    0.3]
 [  0.    0.7]
 [ 10.    0.7]]"
2311,1.81,1.06026029586792,[ -9.83510077   3.419445   110.        ],"(-5, 1, 11)",[ 1 14  9  3],"[[ 0.   0.3]
 [10.   0.7]
 [10.   0.7]
 [ 0.   0.3]]"
2640,1.92,1.060772180557251,[-10.38131571   2.39361867 111.        ],"(-6, 1, 11)",[25 21  0  6],"[[-10.    0.7]
 [-10.    0.7]
 [  0.    0.3]
 [-10.    0.7]]"
2968,1.89,1.1022582054138184,[-11.41957827   0.98701884 110.        ],"(-6, 0, 11)",[14  9  1  3],"[[10.   0.7]
 [10.   0.7]
 [ 0.   0.3]
 [ 0.   0.3]]"
3295,1.84,1.0121355056762695,[ -9.88087872   2.07804377 111.5       ],"(-5, 1, 11)",[25 15 21  0],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [  0.    0.3]]"
3625,1.84,1.0249075889587402,[-10.05030851   3.78419327 106.5       ],"(-6, 1, 10)",[14 26  9  1],"[[ 10.    0.7]
 [-10.    0.7]
 [ 10.    0.7]
 [  0.    0.3]]"
