update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R,replayed_bins_task_label_R
953,2.88,1.099609375,[-17.4363338   -1.94581844 107.5       ],"(-9, -1, 10)",[29 30 14 23],"[[  0.    0.3]
 [  0.    0.3]
 [ 10.    0.7]
 [-10.    0.7]]"
1291,1.13,1.1137280464172363,[ -8.25274589   4.62061875 114.5       ],"(-5, 2, 11)",[29 25  4  1],"[[0.  0.3]
 [0.  0.3]
 [0.  0.7]
 [0.  0.3]]"
1622,1.17,1.1586785316467285,[ -9.71967166   3.49649702 109.5       ],"(-5, 1, 10)",[29 30 28 20],"[[  0.    0.3]
 [  0.    0.3]
 [  0.    0.3]
 [-10.    0.3]]"
1951,1.15,1.1346032619476318,[ -8.24746376   3.81378705 109.5       ],"(-5, 1, 10)",[29 25  1  4],"[[0.  0.3]
 [0.  0.3]
 [0.  0.3]
 [0.  0.7]]"
2278,1.08,1.0650594234466553,[ -7.75731115   4.76168587 109.5       ],"(-4, 2, 10)",[29 13 14 30],"[[ 0.   0.3]
 [10.   0.7]
 [10.   0.7]
 [ 0.   0.3]]"
2608,1.18,1.165780782699585,[ -8.13866775   3.85761404 111.5       ],"(-5, 1, 11)",[29 11 25 18],"[[  0.    0.3]
 [ 10.    0.7]
 [  0.    0.3]
 [-10.    0.3]]"
2935,1.11,1.097749948501587,[ -8.72529487   3.43024479 108.        ],"(-5, 1, 10)",[29 14 30 13],"[[ 0.   0.3]
 [10.   0.7]
 [ 0.   0.3]
 [10.   0.7]]"
3264,1.14,1.1251258850097656,[ -8.65892928   3.71918456 109.5       ],"(-5, 1, 10)",[29 25 11 18],"[[  0.    0.3]
 [  0.    0.3]
 [ 10.    0.7]
 [-10.    0.3]]"
3594,1.12,1.1080317497253418,[ -8.20212308   3.30738223 108.        ],"(-5, 1, 10)",[29 14 13 30],"[[ 0.   0.3]
 [10.   0.7]
 [10.   0.7]
 [ 0.   0.3]]"
