update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R,replayed_bins_task_label_R
11188,1.09,1.068532943725586,[ -8.62920814   6.71364085 107.        ],"(-5, 3, 10)",[14 22 19 24],"[[  0.    0.7]
 [-10.    0.7]
 [-10.    0.3]
 [-10.    0.7]]"
11518,0.99,0.9778027534484863,[ -8.31399364   6.65555986 110.        ],"(-5, 3, 11)",[ 4 28 21  5],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
11850,1.05,1.0354876518249512,[ -8.69343424   6.66152921 112.        ],"(-5, 3, 11)",[13 22 24  6],"[[ 10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
12180,0.99,0.9747202396392822,[ -9.47939689   5.19967743 108.5       ],"(-5, 2, 10)",[ 4 21  5 18],"[[  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [-10.    0.3]]"
12519,1.08,1.064110279083252,[ -9.35923288   6.10661982 115.5       ],"(-5, 3, 11)",[13 22 24  1],"[[ 10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [ 10.    0.3]]"
12840,0.97,0.9514937400817871,[ -8.99404633   6.20753679 107.        ],"(-5, 3, 10)",[11  4 21  5],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
13170,1.03,1.0092487335205078,[ -8.7685584    6.93773751 110.5       ],"(-5, 3, 11)",[13 22 24  6],"[[ 10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
13493,0.99,0.969484806060791,[ -8.2652829    7.41042277 108.5       ],"(-5, 3, 10)",[ 4 21  5 11],"[[  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [  0.    0.7]]"
13831,1.05,1.0377764701843262,[ -8.0393824    7.43977682 110.        ],"(-5, 3, 11)",[13 22  6 24],"[[ 10.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [-10.    0.7]]"
14165,0.99,0.9774439334869385,[ -8.82954213   6.33455839 110.5       ],"(-5, 3, 11)",[ 4 21 12  5],"[[  0.    0.7]
 [-10.    0.7]
 [ 10.    0.7]
 [  0.    0.7]]"
14492,1.16,1.1416676044464111,[ -7.98339116   6.39322945 107.        ],"(-4, 3, 10)",[19  1 22  6],"[[-10.    0.3]
 [ 10.    0.3]
 [-10.    0.7]
 [  0.    0.7]]"
14822,0.99,0.9725542068481445,[ -8.71625795   6.54362328 110.        ],"(-5, 3, 11)",[21  4 23  5],"[[-10.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
15151,1.12,1.1050140857696533,[ -8.11942237   7.41775629 112.        ],"(-5, 3, 11)",[ 6  1 22 13],"[[  0.    0.7]
 [ 10.    0.3]
 [-10.    0.7]
 [ 10.    0.7]]"
15465,1.0,0.9789788722991943,[ -7.57277771   8.19484588 107.        ],"(-4, 4, 10)",[ 5  4 21  8],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
15810,1.05,1.0362603664398193,[ -9.04989107   7.16528523 114.        ],"(-5, 3, 11)",[13 22 24  6],"[[ 10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
16137,0.99,0.9760735034942627,[ -7.53684438   7.28886544 108.        ],"(-4, 3, 10)",[ 5  8  4 21],"[[  0.    0.7]
 [  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]]"
16467,1.01,0.9888331890106201,[ -8.52041599   6.93859198 108.5       ],"(-5, 3, 10)",[13  6 22 24],"[[ 10.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
16799,1.01,0.9932131767272949,[ -8.10335212   6.81336748 109.5       ],"(-5, 3, 10)",[ 5  8 21  4],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
17131,1.12,1.103079080581665,[ -9.20988088   6.35999065 108.        ],"(-5, 3, 10)",[13  6 22  1],"[[ 10.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [ 10.    0.3]]"
17460,1.01,0.9978363513946533,[ -7.80798173   7.69446028 108.5       ],"(-4, 3, 10)",[ 5  4 21 18],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [-10.    0.3]]"
17792,1.08,1.0594112873077393,[ -8.88490867   6.71762599 111.        ],"(-5, 3, 11)",[13 22  6 24],"[[ 10.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [-10.    0.7]]"
18130,1.04,1.0235743522644043,[ -7.89166896   9.38570842 114.5       ],"(-4, 4, 11)",[ 5 14 21  4],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
18456,1.03,1.0169479846954346,[ -8.23237146   7.51810429 109.5       ],"(-5, 3, 10)",[ 4 22 14  5],"[[  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [  0.    0.7]]"
