update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
997,1.41,1.3487532138824463,[-17.4363338   -1.94581844 117.        ],"(-9, -1, 11)",[ 9 16 15  0],"[[  0.    0.7]
 [ 10.    0.7]
 [  0.    0.7]
 [-10.    0.3]]"
1315,1.68,1.0226528644561768,[ -9.50461902   2.61664201 106.5       ],"(-5, 1, 10)",[14 20  1  6],"[[  0.    0.7]
 [-10.    0.3]
 [ 10.    0.3]
 [  0.    0.7]]"
1655,1.62,0.9108920097351074,[ -9.27744799   4.86010476 114.5       ],"(-5, 2, 11)",[ 9  6 16 15],"[[  0.    0.7]
 [-10.    0.7]
 [ 10.    0.7]
 [  0.    0.7]]"
1986,1.74,1.028308629989624,[ -8.57708428   2.49779081 114.        ],"(-5, 1, 11)",[14 18  1 17],"[[ 0.   0.7]
 [10.   0.7]
 [10.   0.3]
 [10.   0.7]]"
2316,1.64,0.968940019607544,[ -8.92103155   4.62153103 108.        ],"(-5, 2, 10)",[ 9 11  6  0],"[[  0.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [-10.    0.3]]"
2640,1.79,1.0577163696289062,[ -9.07125567   3.89431171 109.5       ],"(-5, 1, 10)",[14 18  1  2],"[[ 0.   0.7]
 [10.   0.7]
 [10.   0.3]
 [10.   0.3]]"
2978,1.74,0.9692502021789551,[-10.65133624   4.72102799 115.        ],"(-6, 2, 11)",[ 9 14 11  6],"[[  0.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
3306,1.88,1.1066093444824219,[ -9.76086107   3.03463342 109.5       ],"(-5, 1, 10)",[ 1 14 13  2],"[[ 10.    0.3]
 [-10.    0.7]
 [ 10.    0.3]
 [ 10.    0.3]]"
3629,1.69,0.9316864013671875,[ -8.5685708    5.37494318 106.        ],"(-5, 2, 10)",[ 9 11 21  6],"[[  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [-10.    0.7]]"
