update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
974,1.63,1.3418376445770264,[-17.4363338   -1.94581844 138.        ],"(-9, -1, 13)",[14  1  9 11],"[[ 10.    0.7]
 [  0.    0.3]
 [ 10.    0.7]
 [-10.    0.7]]"
1392,1.83,1.0398836135864258,[-12.31657539   1.0017784  139.5       ],"(-7, 0, 13)",[21 15 18 16],"[[-10.    0.7]
 [-10.    0.7]
 [ 10.    0.7]
 [ 10.    0.7]]"
1807,1.94,1.0845603942871094,[-12.50555933   1.15948262 138.5       ],"(-7, 0, 13)",[14 11  9  1],"[[ 10.    0.7]
 [-10.    0.7]
 [ 10.    0.7]
 [  0.    0.3]]"
2237,1.83,1.0068647861480713,[-12.3129213    0.77869611 141.5       ],"(-7, 0, 14)",[21 15 16 19],"[[-10.    0.7]
 [-10.    0.7]
 [ 10.    0.7]
 [ 10.    0.7]]"
2648,1.82,1.0531387329101562,[-11.67086829   1.81657285 139.5       ],"(-6, 0, 13)",[14  3  9 11],"[[ 10.    0.7]
 [-10.    0.3]
 [ 10.    0.7]
 [-10.    0.7]]"
3073,1.87,1.0397140979766846,[-11.06022491   2.34200341 138.5       ],"(-6, 1, 13)",[21 15 23 19],"[[-10.    0.7]
 [-10.    0.7]
 [  0.    0.3]
 [ 10.    0.7]]"
3492,1.88,1.0445399284362793,[-12.47685059   0.94652556 140.        ],"(-7, 0, 14)",[14  9 11  1],"[[ 10.    0.7]
 [ 10.    0.7]
 [-10.    0.7]
 [  0.    0.3]]"
