update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
10541,1.73,1.2501044273376465,[ -7.89431962   9.03631181 113.        ],"(-4, 4, 11)",[16  1  3  9],"[[ 10.    0.3]
 [-10.    0.3]
 [  0.    0.3]
 [  0.    0.7]]"
10876,1.54,1.135300874710083,[ -7.84743531  10.00484933 113.5       ],"(-4, 5, 11)",[ 9 10 28 22],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.3]
 [ 10.    0.7]]"
11201,1.94,1.370387077331543,[ -7.83038734  10.00834158 108.        ],"(-4, 5, 10)",[ 1  3 16 29],"[[-10.    0.3]
 [  0.    0.3]
 [ 10.    0.3]
 [-10.    0.3]]"
11522,1.61,1.216477632522583,[ -7.19973876  11.04766591 105.5       ],"(-4, 5, 10)",[ 9  2  0 28],"[[  0.    0.7]
 [-10.    0.3]
 [  0.    0.3]
 [-10.    0.3]]"
11853,1.79,1.1893107891082764,[ -8.527034     8.25245153 110.        ],"(-5, 4, 11)",[ 9  1 22 16],"[[  0.    0.7]
 [-10.    0.3]
 [ 10.    0.7]
 [ 10.    0.3]]"
12186,1.6,1.1892633438110352,[ -8.44524852   9.67038    110.        ],"(-5, 4, 11)",[28  9  0 10],"[[-10.    0.3]
 [  0.    0.7]
 [  0.    0.3]
 [  0.    0.7]]"
12515,1.67,1.1232669353485107,[ -8.16247349   9.23358344 108.        ],"(-5, 4, 10)",[ 1 34  9 12],"[[-10.    0.3]
 [  0.    0.7]
 [  0.    0.7]
 [  0.    0.7]]"
12841,1.6,1.158940076828003,[ -9.15548569   8.30267979 108.5       ],"(-5, 4, 10)",[ 9  8 16 28],"[[  0.    0.7]
 [  0.    0.7]
 [ 10.    0.3]
 [-10.    0.3]]"
13172,1.76,1.210834264755249,[ -8.21004831   9.8416239  109.5       ],"(-5, 4, 10)",[ 1 34 29 10],"[[-10.    0.3]
 [  0.    0.7]
 [-10.    0.3]
 [  0.    0.7]]"
13503,1.56,1.077439546585083,[ -8.42058559   9.36219147 110.        ],"(-5, 4, 11)",[ 9  8 21 22],"[[ 0.   0.7]
 [ 0.   0.7]
 [10.   0.7]
 [10.   0.7]]"
13836,1.67,1.2073476314544678,[ -8.33281386   9.68374223 111.5       ],"(-5, 4, 11)",[ 1 34 13  3],"[[-10.    0.3]
 [  0.    0.7]
 [  0.    0.7]
 [  0.    0.3]]"
14166,1.57,1.1649048328399658,[ -6.18346559  11.60867534 109.5       ],"(-4, 5, 10)",[ 9 28  2 22],"[[  0.    0.7]
 [-10.    0.3]
 [-10.    0.3]
 [ 10.    0.7]]"
14492,2.07,1.2657132148742676,[ -8.26897043   9.43364819 107.5       ],"(-5, 4, 10)",[9 1 0 3],"[[  0.    0.7]
 [-10.    0.3]
 [  0.    0.3]
 [  0.    0.3]]"
14829,1.6,1.148435354232788,[ -8.3115733    9.44726571 109.        ],"(-5, 4, 10)",[10 22  9  2],"[[  0.    0.7]
 [ 10.    0.7]
 [  0.    0.7]
 [-10.    0.3]]"
15161,2.0,1.3057527542114258,[ -7.65291633   9.98007723 112.5       ],"(-4, 4, 11)",[ 1 13 29  3],"[[-10.    0.3]
 [  0.    0.7]
 [-10.    0.3]
 [  0.    0.3]]"
15485,1.72,1.223912000656128,[ -7.93035284   9.51283382 107.        ],"(-4, 4, 10)",[ 9 28  2 22],"[[  0.    0.7]
 [-10.    0.3]
 [-10.    0.3]
 [ 10.    0.7]]"
15813,1.94,1.2951841354370117,[ -8.36746279   9.02216943 107.5       ],"(-5, 4, 10)",[9 1 0 3],"[[  0.    0.7]
 [-10.    0.3]
 [  0.    0.3]
 [  0.    0.3]]"
16148,1.54,1.1222658157348633,[ -9.12590471   8.94759852 112.        ],"(-5, 4, 11)",[ 9 10  5 22],"[[ 0.   0.7]
 [ 0.   0.7]
 [ 0.   0.3]
 [10.   0.7]]"
16475,1.94,1.3352468013763428,[ -8.39854289   9.05959646 108.5       ],"(-5, 4, 10)",[ 1 29  3  4],"[[-10.    0.3]
 [-10.    0.3]
 [  0.    0.3]
 [ 10.    0.3]]"
16816,1.6,1.21329927444458,[ -8.56664791   8.87400464 114.5       ],"(-5, 4, 11)",[ 9  8 16  5],"[[ 0.   0.7]
 [ 0.   0.7]
 [10.   0.3]
 [ 0.   0.3]]"
17132,1.79,1.268662929534912,[ -7.92588253   9.83047951 105.5       ],"(-4, 4, 10)",[1 0 3 9],"[[-10.    0.3]
 [  0.    0.3]
 [  0.    0.3]
 [  0.    0.7]]"
17461,1.66,1.1576316356658936,[ -8.41709518   9.8703529  109.5       ],"(-5, 4, 10)",[10  9 22 28],"[[  0.    0.7]
 [  0.    0.7]
 [ 10.    0.7]
 [-10.    0.3]]"
17801,2.02,1.3853950500488281,[ -8.97667369   9.26496653 112.5       ],"(-5, 4, 11)",[ 1  3  0 29],"[[-10.    0.3]
 [  0.    0.3]
 [  0.    0.3]
 [-10.    0.3]]"
18127,1.52,1.1228394508361816,[ -8.06288233   9.08822625 111.5       ],"(-5, 4, 11)",[ 9 22 10 28],"[[  0.    0.7]
 [ 10.    0.7]
 [  0.    0.7]
 [-10.    0.3]]"
18456,1.92,1.328413724899292,[ -7.87379795   9.49691357 108.5       ],"(-4, 4, 10)",[ 1  9  3 29],"[[-10.    0.3]
 [  0.    0.7]
 [  0.    0.3]
 [-10.    0.3]]"
18780,1.77,1.2601335048675537,[ -8.46906576   9.29856948 110.5       ],"(-5, 4, 11)",[9 5 2 0],"[[  0.    0.7]
 [  0.    0.3]
 [-10.    0.3]
 [  0.    0.3]]"
19108,1.75,1.2163796424865723,[ -7.57405862  10.10120199 109.5       ],"(-4, 5, 10)",[ 9  1 22 16],"[[  0.    0.7]
 [-10.    0.3]
 [ 10.    0.7]
 [ 10.    0.3]]"
19437,1.82,1.2812681198120117,[ -6.61302221  10.88307544 109.5       ],"(-4, 5, 10)",[28  2  0  9],"[[-10.    0.3]
 [-10.    0.3]
 [  0.    0.3]
 [  0.    0.7]]"
19772,1.84,1.2214672565460205,[ -8.05226416   9.01372647 112.5       ],"(-5, 4, 11)",[ 1 13  9 29],"[[-10.    0.3]
 [  0.    0.7]
 [  0.    0.7]
 [-10.    0.3]]"
20103,1.67,1.1761927604675293,[ -8.68510877   8.79945822 111.5       ],"(-5, 4, 11)",[ 9 22 28  8],"[[  0.    0.7]
 [ 10.    0.7]
 [-10.    0.3]
 [  0.    0.7]]"
20439,1.76,1.2773113250732422,[ -7.19361978  10.40799856 111.5       ],"(-4, 5, 11)",[ 1  3 21 16],"[[-10.    0.3]
 [  0.    0.3]
 [ 10.    0.7]
 [ 10.    0.3]]"
20774,1.74,1.2592442035675049,[ -8.03902387   9.60538035 111.5       ],"(-5, 4, 11)",[ 0 22 28  2],"[[  0.    0.3]
 [ 10.    0.7]
 [-10.    0.3]
 [-10.    0.3]]"
21096,1.81,1.2353239059448242,[ -7.56337648   9.73193311 107.5       ],"(-4, 4, 10)",[ 9 16  1 29],"[[  0.    0.7]
 [ 10.    0.3]
 [-10.    0.3]
 [-10.    0.3]]"
21431,1.57,1.1510393619537354,[ -7.5673458   10.53895376 113.5       ],"(-4, 5, 11)",[ 9 10  5 28],"[[  0.    0.7]
 [  0.    0.7]
 [  0.    0.3]
 [-10.    0.3]]"
21759,1.9,1.2706615924835205,[ -8.17023391   9.17255126 110.5       ],"(-5, 4, 11)",[ 1  3  9 16],"[[-10.    0.3]
 [  0.    0.3]
 [  0.    0.7]
 [ 10.    0.3]]"
22087,1.71,1.1908941268920898,[ -7.20313886  10.15286473 111.        ],"(-4, 5, 11)",[ 0  8 10 22],"[[ 0.   0.3]
 [ 0.   0.7]
 [ 0.   0.7]
 [10.   0.7]]"
22410,1.98,1.3187696933746338,[ -8.02479713   9.05171912 106.5       ],"(-5, 4, 10)",[ 1  9  3 29],"[[-10.    0.3]
 [  0.    0.7]
 [  0.    0.3]
 [-10.    0.3]]"
