update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
963,1.93,1.5310771465301514,[-17.4363338   -1.94581844 109.        ],"(-9, -1, 10)",[ 1  9 29  3],"[[-10.    0.3]
 [  0.    0.7]
 [-10.    0.3]
 [  0.    0.3]]"
1294,2.23,1.1924357414245605,[ -5.40441687  10.05026268 109.        ],"(-3, 5, 10)",[22  0 26 10],"[[10.   0.7]
 [ 0.   0.3]
 [10.   0.7]
 [ 0.   0.7]]"
1626,1.87,1.3086438179016113,[ -5.75979638  10.09944418 111.        ],"(-3, 5, 11)",[ 1 29 17 16],"[[-10.    0.3]
 [-10.    0.3]
 [ 10.    0.3]
 [ 10.    0.3]]"
1948,1.88,1.2739405632019043,[ -7.2233899    8.82076937 107.        ],"(-4, 4, 10)",[ 0  9  5 10],"[[0.  0.3]
 [0.  0.7]
 [0.  0.3]
 [0.  0.7]]"
2289,2.03,1.3330035209655762,[ -6.39811349  11.03273241 112.        ],"(-4, 5, 11)",[35  1 29 16],"[[ 10.    0.7]
 [-10.    0.3]
 [-10.    0.3]
 [ 10.    0.3]]"
2615,1.63,1.1531474590301514,[ -5.21443367  10.56016522 110.        ],"(-3, 5, 11)",[26  9  8 28],"[[ 10.    0.7]
 [  0.    0.7]
 [  0.    0.7]
 [-10.    0.3]]"
2936,1.93,1.3260385990142822,[ -5.26697969  10.32613716 107.        ],"(-3, 5, 10)",[35 15  1  0],"[[ 10.    0.7]
 [ 10.    0.3]
 [-10.    0.3]
 [  0.    0.3]]"
3270,1.7,1.1764957904815674,[ -5.08773945  10.63948674 110.        ],"(-3, 5, 11)",[ 9 22 28  8],"[[  0.    0.7]
 [ 10.    0.7]
 [-10.    0.3]
 [  0.    0.7]]"
3603,1.82,1.2208421230316162,[ -7.05589738   9.90504422 111.5       ],"(-4, 4, 11)",[25 35  1 15],"[[ 10.    0.7]
 [ 10.    0.7]
 [-10.    0.3]
 [ 10.    0.3]]"
