update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R,replayed_bins_task_label_R
894,3.8,1.1774826049804688,[-17.4363338   -1.94581844 108.5       ],"(-9, -1, 10)",[12  5  8 22],"[[ 0.   0.7]
 [ 0.   0.7]
 [ 0.   0.7]
 [10.   0.7]]"
1228,1.7,1.2401182651519775,[ -5.14470703   5.79395825 111.        ],"(-3, 2, 11)",[21 31  0  2],"[[ 10.    0.7]
 [  0.    0.7]
 [  0.    0.3]
 [-10.    0.3]]"
1560,1.23,1.209153413772583,[ -5.16770913   5.51895085 112.        ],"(-3, 2, 11)",[31  3 27 33],"[[  0.    0.7]
 [  0.    0.3]
 [-10.    0.3]
 [  0.    0.7]]"
1886,1.22,1.2057340145111084,[ -7.48244889   3.19013957 110.        ],"(-4, 1, 11)",[36 12  8 27],"[[ 10.    0.7]
 [  0.    0.7]
 [  0.    0.7]
 [-10.    0.3]]"
2220,1.39,1.373631238937378,[ -6.4450064   6.7759449 113.       ],"(-4, 3, 11)",[ 0 31  3  2],"[[  0.    0.3]
 [  0.    0.7]
 [  0.    0.3]
 [-10.    0.3]]"
2547,1.16,1.1430637836456299,[ -5.89314849   6.06337625 108.5       ],"(-3, 3, 10)",[37 36  5 12],"[[10.   0.7]
 [10.   0.7]
 [ 0.   0.7]
 [ 0.   0.7]]"
2871,1.25,1.2355666160583496,[ -5.90736824   5.22799068 106.        ],"(-3, 2, 10)",[24 31 33  1],"[[ 10.    0.7]
 [  0.    0.7]
 [  0.    0.7]
 [-10.    0.3]]"
3201,1.21,1.1922950744628906,[ -5.92295177   4.34297775 109.5       ],"(-3, 2, 10)",[37 20  5 12],"[[10.   0.7]
 [10.   0.7]
 [ 0.   0.7]
 [ 0.   0.7]]"
3536,1.26,1.2474348545074463,[ -7.33523903   6.95529596 112.5       ],"(-4, 3, 11)",[31 33 24 19],"[[ 0.   0.7]
 [ 0.   0.7]
 [10.   0.7]
 [10.   0.3]]"
3864,1.33,1.3147430419921875,[ -6.77594627   5.36826793 107.        ],"(-4, 2, 10)",[37 27 20  5],"[[ 10.    0.7]
 [-10.    0.3]
 [ 10.    0.7]
 [  0.    0.7]]"
