update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
10574,1.82,1.1470153331756592,[-12.31079894   0.99848975 110.        ],"(-7, 0, 11)",[ 3 16 26 29],"[[-10.    0.7]
 [ 10.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
10913,1.81,1.149259090423584,[-1.40255938e+01 -9.79576313e-02  1.14500000e+02],"(-8, -1, 11)",[11 14 15 17],"[[10.   0.3]
 [10.   0.7]
 [10.   0.7]
 [10.   0.7]]"
11241,1.87,1.2094330787658691,[-12.35830176   1.67270685 111.5       ],"(-7, 0, 11)",[24 22 16 29],"[[-10.    0.3]
 [-10.    0.3]
 [ 10.    0.7]
 [-10.    0.7]]"
11565,1.84,1.1576149463653564,[-12.38550339   1.93947251 110.        ],"(-7, 0, 11)",[11  1 17 14],"[[10.   0.3]
 [ 0.   0.3]
 [10.   0.7]
 [10.   0.7]]"
11893,1.87,1.1923112869262695,[-12.93806441   0.23180393 110.5       ],"(-7, 0, 11)",[16 24  6 26],"[[ 10.    0.7]
 [-10.    0.3]
 [  0.    0.7]
 [-10.    0.7]]"
12230,1.8,1.134939193725586,[-14.12704522   0.4184056  112.5       ],"(-8, 0, 11)",[14 11 17  7],"[[10.   0.7]
 [10.   0.3]
 [10.   0.7]
 [ 0.   0.7]]"
12560,1.85,1.2265045642852783,[-12.10893905   0.84398812 111.5       ],"(-7, 0, 11)",[16 24 22 29],"[[ 10.    0.7]
 [-10.    0.3]
 [-10.    0.3]
 [-10.    0.7]]"
12891,1.85,1.2096259593963623,[-12.03480282   1.98666019 113.        ],"(-7, 0, 11)",[11 14  1 17],"[[10.   0.3]
 [10.   0.7]
 [ 0.   0.3]
 [10.   0.7]]"
13220,1.86,1.2217254638671875,[-13.5527157  -0.140972  110.       ],"(-7, -1, 11)",[16 24 37 26],"[[ 10.    0.7]
 [-10.    0.3]
 [  0.    0.7]
 [-10.    0.7]]"
13553,1.94,1.2402102947235107,[-1.39915023e+01 -1.02117166e-01  1.11000000e+02],"(-7, -1, 11)",[14 11 15  1],"[[10.   0.7]
 [10.   0.3]
 [10.   0.7]
 [ 0.   0.3]]"
13876,1.91,1.157186508178711,[-12.75701364   0.10838422 106.5       ],"(-7, 0, 10)",[24 16 29 26],"[[-10.    0.3]
 [ 10.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
14217,1.75,1.1041524410247803,[-13.26290449   1.72725211 114.5       ],"(-7, 0, 11)",[14 11  4 15],"[[10.   0.7]
 [10.   0.3]
 [ 0.   0.7]
 [10.   0.7]]"
14537,1.95,1.23771333694458,[-13.32909377  -0.78324992 107.5       ],"(-7, -1, 10)",[16 24 37 22],"[[ 10.    0.7]
 [-10.    0.3]
 [  0.    0.7]
 [-10.    0.3]]"
14868,1.9,1.214510202407837,[-13.52263217   0.12171505 110.5       ],"(-7, 0, 11)",[11  1 14  4],"[[10.   0.3]
 [ 0.   0.3]
 [10.   0.7]
 [ 0.   0.7]]"
15195,1.87,1.1608071327209473,[-1.34309991e+01 -1.26952678e-02  1.07500000e+02],"(-7, -1, 10)",[16 29 37 26],"[[ 10.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [-10.    0.7]]"
15527,1.89,1.1404237747192383,[-13.93754828   1.44461255 109.5       ],"(-7, 0, 10)",[14 17 11 15],"[[10.   0.7]
 [10.   0.7]
 [10.   0.3]
 [10.   0.7]]"
15847,2.09,1.3472106456756592,[-12.35953034   0.39570202 106.        ],"(-7, 0, 10)",[24 22 16 10],"[[-10.    0.3]
 [-10.    0.3]
 [ 10.    0.7]
 [ 10.    0.3]]"
16188,1.92,1.2286465167999268,[-12.86434333   4.36861101 113.        ],"(-7, 2, 11)",[11  1 14 38],"[[10.   0.3]
 [ 0.   0.3]
 [10.   0.7]
 [ 0.   0.7]]"
16520,1.8,1.1584382057189941,[-12.35927054   1.81359261 109.5       ],"(-7, 0, 10)",[29 24 38 26],"[[-10.    0.7]
 [-10.    0.3]
 [  0.    0.7]
 [-10.    0.7]]"
16848,1.93,1.1388466358184814,[-13.33229164   1.17881523 110.5       ],"(-7, 0, 11)",[14 11 17 15],"[[10.   0.7]
 [10.   0.3]
 [10.   0.7]
 [10.   0.7]]"
17178,1.87,1.1704380512237549,[-12.6714403    0.48067012 111.        ],"(-7, 0, 11)",[24 29 16 38],"[[-10.    0.3]
 [-10.    0.7]
 [ 10.    0.7]
 [  0.    0.7]]"
17511,1.9,1.17625093460083,[-13.44250997   1.55071329 113.5       ],"(-7, 0, 11)",[11 14  1 17],"[[10.   0.3]
 [10.   0.7]
 [ 0.   0.3]
 [10.   0.7]]"
17837,1.92,1.227757453918457,[-12.97622771   0.72606905 108.        ],"(-7, 0, 10)",[24 22 29 16],"[[-10.    0.3]
 [-10.    0.3]
 [-10.    0.7]
 [ 10.    0.7]]"
18168,1.96,1.2182292938232422,[-13.13304823   1.30513653 110.5       ],"(-7, 0, 11)",[11 14  1  4],"[[10.   0.3]
 [10.   0.7]
 [ 0.   0.3]
 [ 0.   0.7]]"
18494,1.92,1.195033073425293,[-12.90742614   0.85332783 110.        ],"(-7, 0, 11)",[38 29 37 16],"[[  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [ 10.    0.7]]"
18822,1.84,1.1354506015777588,[-13.66965746   2.63305127 111.        ],"(-7, 1, 11)",[14 11 17 15],"[[10.   0.7]
 [10.   0.3]
 [10.   0.7]
 [10.   0.7]]"
19154,1.82,1.1712799072265625,[-12.65727325   2.36132105 110.        ],"(-7, 1, 11)",[24 34 29 16],"[[-10.    0.3]
 [  0.    0.7]
 [-10.    0.7]
 [ 10.    0.7]]"
19490,1.87,1.1652193069458008,[-13.06769734   2.71883865 110.        ],"(-7, 1, 11)",[14 11 17 15],"[[10.   0.7]
 [10.   0.3]
 [10.   0.7]
 [10.   0.7]]"
19814,2.04,1.2907516956329346,[-12.82357881  -0.5569436  109.        ],"(-7, -1, 10)",[24 16 29 22],"[[-10.    0.3]
 [ 10.    0.7]
 [-10.    0.7]
 [-10.    0.3]]"
20144,1.9,1.2339506149291992,[-13.48622016   2.13466922 109.5       ],"(-7, 1, 10)",[11  1 14  4],"[[10.   0.3]
 [ 0.   0.3]
 [10.   0.7]
 [ 0.   0.7]]"
20474,1.79,1.1385865211486816,[-12.38226998   1.353757   112.5       ],"(-7, 0, 11)",[16 38 37 26],"[[ 10.    0.7]
 [  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]]"
20808,1.94,1.175915002822876,[-12.08164973   3.23494248 113.        ],"(-7, 1, 11)",[14 11 17 15],"[[10.   0.7]
 [10.   0.3]
 [10.   0.7]
 [10.   0.7]]"
21134,2.05,1.290693759918213,[-12.28322662   0.67671893 108.        ],"(-7, 0, 10)",[24 10 22 16],"[[-10.    0.3]
 [ 10.    0.3]
 [-10.    0.3]
 [ 10.    0.7]]"
21456,1.78,1.1720554828643799,[-12.52916675   1.21464818 107.        ],"(-7, 0, 10)",[11  1 14  4],"[[10.   0.3]
 [ 0.   0.3]
 [10.   0.7]
 [ 0.   0.7]]"
21786,1.9,1.166069507598877,[-1.28201033e+01  1.01133865e-01  1.12000000e+02],"(-7, 0, 11)",[16 38 29 26],"[[ 10.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
22124,1.94,1.1448566913604736,[-12.3739502    3.63113544 112.        ],"(-7, 1, 11)",[14 11 17 15],"[[10.   0.7]
 [10.   0.3]
 [10.   0.7]
 [10.   0.7]]"
22458,1.97,1.2530920505523682,[-12.36797185   2.34189122 110.        ],"(-7, 1, 11)",[24 29 16 22],"[[-10.    0.3]
 [-10.    0.7]
 [ 10.    0.7]
 [-10.    0.3]]"
22792,1.9,1.26120924949646,[-12.78205911   2.64286854 111.5       ],"(-7, 1, 11)",[11 14  1 12],"[[ 10.    0.3]
 [ 10.    0.7]
 [  0.    0.3]
 [-10.    0.3]]"
23122,1.92,1.207430362701416,[-11.86328602   1.29072656 108.        ],"(-6, 0, 10)",[24 16 38 37],"[[-10.    0.3]
 [ 10.    0.7]
 [  0.    0.7]
 [  0.    0.7]]"
23448,1.8,1.189089298248291,[-12.31840001   2.17333085 109.5       ],"(-7, 1, 10)",[14 11 17  1],"[[10.   0.7]
 [10.   0.3]
 [10.   0.7]
 [ 0.   0.3]]"
23769,1.9,1.1859130859375,[-11.94179175   2.56568046 106.        ],"(-6, 1, 10)",[29 24 16 26],"[[-10.    0.7]
 [-10.    0.3]
 [ 10.    0.7]
 [-10.    0.7]]"
24101,2.01,1.2606201171875,[-12.24769465   3.05687042 110.        ],"(-7, 1, 11)",[14 11  4 12],"[[ 10.    0.7]
 [ 10.    0.3]
 [  0.    0.7]
 [-10.    0.3]]"
24438,2.0,1.2562334537506104,[-12.01299733   2.89927512 111.        ],"(-7, 1, 11)",[16 24 29 26],"[[ 10.    0.7]
 [-10.    0.3]
 [-10.    0.7]
 [-10.    0.7]]"
24771,2.04,1.2438442707061768,[-13.29082665   2.64302332 112.5       ],"(-7, 1, 11)",[14 11  4  1],"[[10.   0.7]
 [10.   0.3]
 [ 0.   0.7]
 [ 0.   0.3]]"
25099,2.03,1.2131578922271729,[-12.12831288   3.29319414 108.5       ],"(-7, 1, 10)",[16 32 29 37],"[[ 10.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
25430,1.97,1.1846380233764648,[-13.41235143   2.67035047 113.        ],"(-7, 1, 11)",[14 15 11 17],"[[10.   0.7]
 [10.   0.7]
 [10.   0.3]
 [10.   0.7]]"
25765,1.97,1.3211069107055664,[-12.06561185   0.66442133 113.5       ],"(-7, 0, 11)",[24 22 16 10],"[[-10.    0.3]
 [-10.    0.3]
 [ 10.    0.7]
 [ 10.    0.3]]"
26089,1.89,1.2438886165618896,[-12.67311602   0.43679416 110.5       ],"(-7, 0, 11)",[14 11  1  4],"[[10.   0.7]
 [10.   0.3]
 [ 0.   0.3]
 [ 0.   0.7]]"
26418,1.93,1.2279911041259766,[-12.00176289   2.32153238 109.5       ],"(-7, 1, 10)",[16 24 29 38],"[[ 10.    0.7]
 [-10.    0.3]
 [-10.    0.7]
 [  0.    0.7]]"
26745,2.0,1.2272439002990723,[-13.15864439   1.7150952  108.5       ],"(-7, 0, 10)",[14 11 15 17],"[[10.   0.7]
 [10.   0.3]
 [10.   0.7]
 [10.   0.7]]"
27072,1.92,1.2197890281677246,[-12.28983343   0.9852559  109.5       ],"(-7, 0, 10)",[16 29 24 26],"[[ 10.    0.7]
 [-10.    0.7]
 [-10.    0.3]
 [-10.    0.7]]"
27403,1.91,1.2328002452850342,[-1.33535676e+01  5.09129991e-02  1.12500000e+02],"(-7, 0, 11)",[11 14  4  1],"[[10.   0.3]
 [10.   0.7]
 [ 0.   0.7]
 [ 0.   0.3]]"
27735,1.85,1.1357359886169434,[-12.58440287   2.25519687 111.        ],"(-7, 1, 11)",[16 20 26 38],"[[ 10.    0.7]
 [ 10.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
28070,2.02,1.243497371673584,[-14.24734076  -1.13793676 111.5       ],"(-8, -1, 11)",[14 11 17 15],"[[10.   0.7]
 [10.   0.3]
 [10.   0.7]
 [10.   0.7]]"
28400,2.01,1.269348382949829,[-12.08478918   1.79315561 110.5       ],"(-7, 0, 11)",[24 16 10 29],"[[-10.    0.3]
 [ 10.    0.7]
 [ 10.    0.3]
 [-10.    0.7]]"
28724,1.93,1.187056303024292,[-12.59650759   1.38449634 107.5       ],"(-7, 0, 10)",[14 11 17  1],"[[10.   0.7]
 [10.   0.3]
 [10.   0.7]
 [ 0.   0.3]]"
29054,1.86,1.1336448192596436,[-13.50453263   0.24209212 109.        ],"(-7, 0, 10)",[16 37 38 29],"[[ 10.    0.7]
 [  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]]"
29388,1.87,1.1271562576293945,[-13.35068185   1.5023196  113.        ],"(-7, 0, 11)",[14 15 11 17],"[[10.   0.7]
 [10.   0.7]
 [10.   0.3]
 [10.   0.7]]"
29718,1.87,1.2221112251281738,[-12.8640365    0.35102854 112.5       ],"(-7, 0, 11)",[24 16 29 10],"[[-10.    0.3]
 [ 10.    0.7]
 [-10.    0.7]
 [ 10.    0.3]]"
30048,1.77,1.1260576248168945,[-13.1973926    1.57327375 109.5       ],"(-7, 0, 10)",[14 11 17  4],"[[10.   0.7]
 [10.   0.3]
 [10.   0.7]
 [ 0.   0.7]]"
30376,2.03,1.2702968120574951,[-12.39295805   1.95692484 107.5       ],"(-7, 0, 10)",[16 24 34 29],"[[ 10.    0.7]
 [-10.    0.3]
 [  0.    0.7]
 [-10.    0.7]]"
30705,2.05,1.2712328433990479,[-12.29598987   3.75884571 111.5       ],"(-7, 1, 11)",[14 11 12 17],"[[ 10.    0.7]
 [ 10.    0.3]
 [-10.    0.3]
 [ 10.    0.7]]"
