update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R,replayed_bins_task_label_R
944,3.32,1.1992580890655518,[-17.4363338   -1.94581844 136.        ],"(-9, -1, 13)",[29 27 15 25],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
1381,1.26,1.2472870349884033,[-15.10894416   2.17660688 147.        ],"(-8, 1, 14)",[26 28  6 16],"[[-10.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [ 10.    0.7]]"
1796,1.46,1.447174310684204,[-15.25387025   1.61488362 139.        ],"(-8, 0, 13)",[14 15 29 27],"[[ 10.    0.3]
 [-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
2215,1.29,1.2743287086486816,[-14.12704727   3.77541214 139.5       ],"(-8, 1, 13)",[26  6 28  7],"[[-10.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
2636,1.31,1.2950363159179688,[-14.99823414   3.69705966 142.5       ],"(-8, 1, 14)",[15 18 29 27],"[[-10.    0.7]
 [ 10.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
3061,1.33,1.3096842765808105,[-14.13147923   3.49288694 142.5       ],"(-8, 1, 14)",[26  6  5 28],"[[-10.    0.7]
 [  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]]"
3478,1.3,1.2850184440612793,[-13.68070891   4.85589008 137.5       ],"(-7, 2, 13)",[29 15 27 25],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
3816,1.17,1.1549744606018066,[-13.66225477   3.70238473 100.5       ],"(-7, 1, 10)",[17 26 16  7],"[[ 10.    0.7]
 [-10.    0.7]
 [ 10.    0.7]
 [  0.    0.7]]"
