timestamp,gait_phase_L,gait_phase_R,mtr_cmd_L,mtr_cmd_R,incline,speed,gpio_output
10.000000476837158,11.900785877582779,38.65773272750466,-4.048268636112012,0.17939411004055042,-10,0.7,0.0
10.010000705718994,13.861152996880858,40.06677655320286,-3.757104008669852,0.4126631493387295,-10,0.7,1.0
10.02000093460083,13.861152996880858,40.06677655320286,-3.757104008669852,0.4126631493387295,-10,0.7,1.0
10.030000686645508,15.430503926878517,41.23929167018275,-3.377985173607415,0.5582467316339697,-10,0.7,1.0
10.040000915527344,15.430503926878517,41.23929167018275,-3.377985173607415,0.5582467316339697,-10,0.7,1.0
10.050000429153442,16.83191145296926,42.27735194248208,-3.1630040684493523,0.7203667889473783,-10,0.7,1.0
10.060000658035278,16.83191145296926,42.27735194248208,-3.1630040684493523,0.7203667889473783,-10,0.7,1.0
10.070000410079956,18.503893175456785,43.54984594722957,-2.697320763341052,0.896951146219506,-10,0.7,1.0
10.080000877380371,18.503893175456785,43.54984594722957,-2.697320763341052,0.896951146219506,-10,0.7,1.0
10.090000629425049,20.42341719627918,45.255510769510664,-2.2041723724585447,1.2852240604021234,-10,0.7,1.0
10.100000858306885,20.42341719627918,45.255510769510664,-2.2041723724585447,1.2852240604021234,-10,0.7,1.0
10.110000610351562,22.33102097880173,47.2621491658745,-1.7077545445402573,1.7064880737062291,-10,0.7,1.0
10.12000036239624,22.33102097880173,47.2621491658745,-1.7077545445402573,1.7064880737062291,-10,0.7,1.0
10.130000352859497,24.062784714265263,49.15107321456444,-1.232262928324618,2.144165785656227,-10,0.7,1.0
10.140000581741333,24.062784714265263,49.15107321456444,-1.232262928324618,2.144165785656227,-10,0.7,1.0
10.150000810623169,25.865461709825922,50.76736116603807,-1.0099255898360486,2.3639793409748155,-10,0.7,1.0
10.160000562667847,25.865461709825922,50.76736116603807,-1.0099255898360486,2.3639793409748155,-10,0.7,1.0
10.170000791549683,27.760613892297197,52.66921270005549,-0.6111901325589318,2.795194975001925,-10,0.7,1.0
10.18000054359436,27.760613892297197,52.66921270005549,-0.6111901325589318,2.795194975001925,-10,0.7,1.0
10.190000772476196,29.686639240225006,54.86305042986223,-0.29387000883053094,3.201380806485949,-10,0.7,1.0
10.200000524520874,29.686639240225006,54.86305042986223,-0.29387000883053094,3.201380806485949,-10,0.7,1.0
10.210001230239868,31.617714829300297,56.791493077399046,-0.08216086738927592,3.565959434951297,-10,0.7,0.0
10.220000505447388,31.617714829300297,56.791493077399046,-0.08216086738927592,3.565959434951297,-10,0.7,0.0
10.230000495910645,33.4592162309969,58.51645872419127,-0.0002583569735894784,3.872353459922374,-10,0.7,0.0
10.240000486373901,33.4592162309969,58.51645872419127,-0.0002583569735894784,3.872353459922374,-10,0.7,0.0
10.250000715255737,35.379069866293776,60.134268860869234,0.0053184902157706855,4.103985480923586,-10,0.7,0.0
10.260000944137573,35.379069866293776,60.134268860869234,0.0053184902157706855,4.103985480923586,-10,0.7,0.0
10.270000696182251,37.391472213229335,61.72472636329213,0.09585300315650958,4.186585302286872,-10,0.7,0.0
