update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
897,2.63,1.5681514739990234,[-17.4363338   -1.94581844 108.5       ],"(-9, -1, 10)",[24 16 22 29],"[[-10.    0.3]
 [ 10.    0.7]
 [-10.    0.3]
 [-10.    0.7]]"
1224,1.53,1.1499309539794922,[-12.60542144   3.28387288 109.5       ],"(-7, 1, 10)",[14 11  4  1],"[[10.   0.7]
 [10.   0.3]
 [ 0.   0.7]
 [ 0.   0.3]]"
1556,1.22,1.2058343887329102,[-10.44631325   1.00974121 113.5       ],"(-6, 0, 11)",[32 16 37 24],"[[ 10.    0.7]
 [ 10.    0.7]
 [  0.    0.7]
 [-10.    0.3]]"
1874,1.19,1.170304775238037,[-1.24859951e+01  7.74567696e-02  1.08000000e+02],"(-7, 0, 10)",[14 11 15 17],"[[10.   0.7]
 [10.   0.3]
 [10.   0.7]
 [10.   0.7]]"
2194,1.17,1.1546599864959717,[-10.64972856   1.05529565 102.5       ],"(-6, 0, 10)",[32 16 26 38],"[[ 10.    0.7]
 [ 10.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
2530,1.23,1.2091617584228516,[-13.554263    -0.87593847 112.        ],"(-7, -1, 11)",[11 31 14 12],"[[ 10.    0.3]
 [ 10.    0.7]
 [ 10.    0.7]
 [-10.    0.3]]"
2867,1.19,1.1766016483306885,[-12.68973513  -0.82838397 111.5       ],"(-7, -1, 11)",[32 29 26 16],"[[ 10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [ 10.    0.7]]"
3213,1.22,1.2044651508331299,[-14.18557257   0.93041349 118.        ],"(-8, 0, 11)",[14 31 11 15],"[[10.   0.7]
 [10.   0.7]
 [10.   0.3]
 [10.   0.7]]"
3539,1.22,1.1984825134277344,[-12.17306775  -1.85679249 106.5       ],"(-7, -1, 10)",[37 24 29 32],"[[ 10.    0.7]
 [-10.    0.3]
 [-10.    0.7]
 [ 10.    0.7]]"
3864,1.2,1.1850206851959229,[-12.60443203  -0.74186434 109.        ],"(-7, -1, 10)",[31 14 11  7],"[[10.   0.7]
 [10.   0.7]
 [10.   0.3]
 [10.   0.7]]"
