update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L
874,2.35,1.0656707286834717,[-16.64549266  -0.99556979 138.5       ],"(-9, -1, 13)",[1]
1298,0.85,0.8360745906829834,[-10.25188039   2.90971879 144.5       ],"(-6, 1, 14)",[21]
1717,0.86,0.8415083885192871,[ -9.94439814   3.02641167 142.5       ],"(-5, 1, 14)",[1]
2137,0.85,0.8383822441101074,[-11.05716557   1.89043956 141.        ],"(-6, 0, 14)",[21]
2560,0.87,0.8538320064544678,[ -9.93371863   2.31790996 140.5       ],"(-5, 1, 14)",[21]
2975,0.78,0.7607476711273193,[-10.64632993   2.22900577 141.        ],"(-6, 1, 14)",[25]
3395,0.86,0.8439164161682129,[-11.08568808   2.31389644 138.5       ],"(-6, 1, 13)",[20]
3813,0.84,0.8195812702178955,[-10.51771083   2.46629455 140.        ],"(-6, 1, 14)",[1]
