update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L
904,2.08,1.0884466171264648,[-16.64549266  -0.99556979 111.        ],"(-9, -1, 11)",[5 1]
1230,0.83,0.8110702037811279,[ -7.54410799   3.98581967 108.        ],"(-4, 1, 10)",[18 19]
1558,0.85,0.8336501121520996,[ -8.44112287   3.03714743 110.5       ],"(-5, 1, 11)",[16 11]
1892,0.83,0.8163714408874512,[ -8.21666018   2.58349711 111.5       ],"(-5, 1, 11)",[18 10]
2224,0.94,0.9281456470489502,[ -9.40380975   2.75895319 110.5       ],"(-5, 1, 11)",[19  0]
2561,0.82,0.8025181293487549,[ -7.58131946   3.57647248 113.        ],"(-4, 1, 11)",[18  8]
2889,0.98,0.962705135345459,[ -9.93618072   1.06001037 107.        ],"(-5, 0, 10)",[19  0]
3219,0.88,0.8637580871582031,[ -6.27703002   5.01698887 110.5       ],"(-4, 2, 11)",[18  8]
3545,0.88,0.8649232387542725,[ -7.79902923   3.69611492 108.        ],"(-4, 1, 10)",[10 19]
3869,0.9,0.8865225315093994,[ -8.85012056   3.05478405 110.        ],"(-5, 1, 11)",[1 8]
