update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R
970,1.51,0.39772534370422363,[-16.64549266  -0.99556979 111.        ],"(-9, -1, 11)",[1]
1302,0.61,0.4929811954498291,[ -8.15582655   6.78712577 111.5       ],"(-5, 3, 11)","[2, 4]"
1630,0.73,0.5119917392730713,[ -6.83268056   7.45594917 110.        ],"(-4, 3, 11)","[5, 1]"
1955,0.96,0.5349409580230713,[ -7.38121537   7.56372277 109.        ],"(-4, 3, 10)","[6, 2]"
2290,0.72,0.7034401893615723,[ -7.99300582   6.71772058 111.        ],"(-4, 3, 11)","[1, 5, 2]"
2619,0.46,0.3435227870941162,[ -7.4304146    6.62997575 109.5       ],"(-4, 3, 10)",[4]
2947,0.81,0.5104615688323975,[ -7.3430548    7.29229754 109.        ],"(-4, 3, 10)","[6, 1]"
3279,0.99,0.6808891296386719,[ -7.53457106   6.80288938 110.        ],"(-4, 3, 11)","[4, 2, 0]"
3613,0.28,0.26197123527526855,[ -7.92661841   5.56602497 111.5       ],"(-4, 2, 11)",[]
3949,0.59,0.49189090728759766,[ -6.53721022   8.04705025 111.5       ],"(-4, 4, 11)",[2]
