update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R
975,1.09,0.33553218841552734,None,"('N', 'o', 'n', 'e')",None
1312,0.37,0.358579158782959,None,"('N', 'o', 'n', 'e')",None
1638,0.42,0.40079283714294434,None,"('N', 'o', 'n', 'e')",None
1968,0.44,0.4267575740814209,None,"('N', 'o', 'n', 'e')",None
2301,0.38,0.36286091804504395,None,"('N', 'o', 'n', 'e')",None
2628,0.42,0.4036879539489746,None,"('N', 'o', 'n', 'e')",None
2959,0.39,0.3733370304107666,None,"('N', 'o', 'n', 'e')",None
3297,0.44,0.42415857315063477,None,"('N', 'o', 'n', 'e')",None
3620,0.49,0.47765541076660156,None,"('N', 'o', 'n', 'e')",None
3943,0.39,0.3707730770111084,None,"('N', 'o', 'n', 'e')",None
