update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R
961,2.39,0.9059593677520752,[-16.64549266  -0.99556979 139.5       ],"(-9, -1, 13)",[10 17]
1380,0.94,0.9074327945709229,[ -9.39972924   4.06308089 142.5       ],"(-5, 2, 14)",[7 0]
1805,0.98,0.9620494842529297,[ -9.86586987   5.06957502 147.        ],"(-5, 2, 14)",[ 7 23]
2224,0.97,0.9561500549316406,[-11.21872604   3.69885446 141.        ],"(-6, 1, 14)",[2 0]
2642,0.98,0.929671049118042,[ -9.37881412   5.61676924 140.        ],"(-5, 2, 14)",[23 24]
3069,0.91,0.8939125537872314,[-10.57205078   4.03249655 144.5       ],"(-6, 2, 14)",[ 2 19]
3481,0.97,0.956289529800415,[-10.61669919   4.73986917 137.        ],"(-6, 2, 13)",[23 12]
3906,1.0,0.9837145805358887,[-10.00977971   4.66879808 144.        ],"(-6, 2, 14)",[2 0]
