update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L
900,2.21,1.1799230575561523,[-16.64549266  -0.99556979 110.        ],"(-9, -1, 11)",[ 1  5 18]
1234,0.91,0.8893349170684814,[ -7.53165594   3.04888058 109.5       ],"(-4, 1, 10)",[19  8 16]
1569,0.93,0.9183166027069092,[ -8.32929495   3.8739481  112.        ],"(-5, 1, 11)",[18 10  1]
1903,1.02,0.9994544982910156,[ -9.06710826   4.06566251 110.5       ],"(-5, 2, 11)",[19  2 16]
2230,0.91,0.8887238502502441,[ -8.76583568   2.98981283 108.5       ],"(-5, 1, 10)",[18  1 10]
2563,1.09,1.0741512775421143,[ -7.22118035   4.93976095 112.5       ],"(-4, 2, 11)",[19  2  0]
2890,1.05,1.0343225002288818,[ -7.9933174   4.9275758 110.5      ],"(-4, 2, 11)",[18  1  5]
3221,1.01,0.9989676475524902,[ -7.89318118   3.2769539  108.5       ],"(-4, 1, 10)",[19 23  2]
3548,0.94,0.9288368225097656,[ -7.90180544   2.85141766 109.        ],"(-4, 1, 10)",[10  1 18]
3881,1.05,1.0297949314117432,[ -8.28803416   3.63289102 109.5       ],"(-5, 1, 10)",[23 19  2]
