update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R
969,2.6,1.0755038261413574,[-16.64549266  -0.99556979 143.5       ],"(-9, -1, 14)",[2 1 0]
1378,1.24,1.0147104263305664,[ -9.07083616   6.39075106 137.5       ],"(-5, 3, 13)",[17 16 10]
1799,1.09,0.9462571144104004,[ -8.60624399   6.51830399 139.5       ],"(-5, 3, 13)",[0 2 5]
2221,1.15,0.9979023933410645,[ -8.9623129   6.1763345 141.5      ],"(-5, 3, 14)",[17  1 16]
2640,1.14,0.8997440338134766,[ -9.63295911   5.84316071 141.5       ],"(-5, 2, 14)",[ 5  4 20]
3060,1.31,1.0659310817718506,[-10.38127483   4.50977803 139.        ],"(-6, 2, 13)",[17 10  1]
3481,1.1,0.983332633972168,[-10.82673266   4.64918173 139.        ],"(-6, 2, 13)",[16  0  7]
3896,1.28,1.038339376449585,[ -9.15231664   6.58355885 139.        ],"(-5, 3, 13)",[17 10 12]
4309,1.13,0.9687862396240234,[ -9.40113159   4.8266235  137.        ],"(-5, 2, 13)",[16  0  5]
4734,1.36,1.104236125946045,[ -9.79105534   6.55113968 144.        ],"(-5, 3, 14)",[17  2 10]
5159,1.28,1.0460307598114014,[-10.39686431   5.54281364 140.        ],"(-6, 2, 14)",[15  2 18]
5579,1.22,0.9933626651763916,[ -9.28669966   6.57285479 140.        ],"(-5, 3, 14)",[17 15  7]
6002,1.25,1.0032305717468262,[ -8.61170061   6.02072997 143.5       ],"(-5, 3, 14)",[ 2 16  4]
6412,1.22,1.0324311256408691,[ -9.15708086   6.78373725 136.        ],"(-5, 3, 13)",[17 15 10]
6837,1.3,0.9986917972564697,[-10.35128348   5.1363696  141.        ],"(-6, 2, 14)",[ 2 16 20]
7252,1.24,1.0348680019378662,[-10.42730335   5.8011777  139.5       ],"(-6, 2, 13)",[17 10 12]
7678,1.13,0.9682669639587402,[-10.30739686   4.62638172 145.        ],"(-6, 2, 14)",[2 0 5]
8091,1.18,1.022749662399292,[ -9.21280123   5.83798827 139.5       ],"(-5, 2, 13)",[17 15 10]
8510,1.21,0.9259064197540283,[ -9.70341759   5.65564274 140.5       ],"(-5, 2, 14)",[2 4 5]
8939,1.17,1.0811750888824463,[-10.00280011   5.70358116 144.5       ],"(-6, 2, 14)",[17 10 12]
9343,1.32,0.9889969825744629,[ -8.5700189    6.27186647 133.5       ],"(-5, 3, 13)",[2 4 0]
9771,1.3,1.0841081142425537,[ -8.39728209   6.68739065 146.5       ],"(-5, 3, 14)",[ 2 17 10]
10189,1.31,1.006875991821289,[ -8.90922631   5.59263246 139.5       ],"(-5, 2, 13)",[18  4 16]
10608,1.33,1.0671465396881104,[ -8.86334025   6.64545348 138.        ],"(-5, 3, 13)",[ 2 17 10]
11036,1.3,1.1055693626403809,[-11.01225102   4.07544451 145.5       ],"(-6, 2, 14)",[18 15  1]
11465,1.34,1.1023151874542236,[ -9.13519963   5.85578201 146.5       ],"(-5, 2, 14)",[ 2 17 12]
11889,1.29,0.9850101470947266,[ -9.44012851   6.01016081 142.        ],"(-5, 3, 14)",[ 2 18  4]
12302,1.29,1.0522329807281494,[ -9.749536     5.58491265 135.5       ],"(-5, 2, 13)",[17 10 12]
12719,1.36,0.9898881912231445,[ -8.47320262   6.50183623 137.5       ],"(-5, 3, 13)",[ 2 15  4]
13146,1.1,1.030500888824463,[ -9.48504883   6.25937071 143.5       ],"(-5, 3, 14)",[17 10 12]
13561,1.4,0.9691274166107178,[ -9.78501295   5.12570833 139.        ],"(-5, 2, 13)",[18  4  0]
13977,1.29,1.052323579788208,[ -9.53168099   6.27302093 137.        ],"(-5, 3, 13)",[17 10 12]
14393,1.3,0.9391658306121826,[ -9.60411623   5.68985651 138.5       ],"(-5, 2, 13)",[1 4 7]
14816,1.22,0.9800596237182617,[-10.48834365   5.26584234 143.        ],"(-6, 2, 14)",[17 10 14]
15237,1.16,0.9033973217010498,[ -9.69452706   5.51799246 142.5       ],"(-5, 2, 14)",[ 1 19  5]
15648,1.21,1.0192933082580566,[ -9.11769913   5.89481161 137.        ],"(-5, 2, 13)",[17 10  2]
16080,1.23,1.027005910873413,[-10.14995732   4.97793675 145.5       ],"(-6, 2, 14)",[15  1  0]
16493,1.26,1.0255694389343262,[ -9.43892363   5.92906064 136.5       ],"(-5, 2, 13)",[17 10  2]
16908,1.22,0.9806954860687256,[ -9.54495103   4.79301328 140.5       ],"(-5, 2, 14)",[19  1 15]
17336,1.19,1.0335805416107178,[-10.05650498   5.53472211 142.        ],"(-6, 2, 14)",[17 12  2]
17762,1.39,0.9642410278320312,[-10.89602056   4.1542793  142.        ],"(-6, 2, 14)",[ 1  4 18]
18187,1.24,1.015477180480957,[ -9.9960352    5.65949279 141.5       ],"(-5, 2, 14)",[17 12 10]
18599,1.21,0.9738452434539795,[ -8.8193545    6.40106032 142.        ],"(-5, 3, 14)",[22  1 19]
19026,1.37,1.0465681552886963,[ -8.41352143   6.3503119  138.        ],"(-5, 3, 13)",[17  1 10]
19436,1.25,0.9587314128875732,[ -8.84398658   5.77305555 136.5       ],"(-5, 2, 13)",[22  4  5]
19861,1.32,1.0395681858062744,[ -8.27384153   7.81043831 140.5       ],"(-5, 3, 14)",[17 10 12]
20271,1.32,1.0042648315429688,[ -8.96229285   6.11840729 134.5       ],"(-5, 3, 13)",[22  0  4]
20703,1.37,1.0875980854034424,[ -8.45309225   6.55104872 142.        ],"(-5, 3, 14)",[17 10 12]
21116,1.29,0.958244800567627,[ -8.12677837   5.6690707  139.        ],"(-5, 2, 13)",[22 14  4]
21529,1.28,1.080350637435913,[ -9.15544096   5.73766591 138.        ],"(-5, 2, 13)",[17 12 10]
21954,1.22,0.980841875076294,[ -8.32862871   6.77784541 142.5       ],"(-5, 3, 14)",[18 19  7]
22374,1.31,1.068680763244629,[ -8.34392751   6.66506012 140.5       ],"(-5, 3, 14)",[17 10 12]
22793,1.27,0.9423372745513916,[ -8.5273453    6.57263619 140.5       ],"(-5, 3, 14)",[18 14  4]
23215,1.29,1.038698673248291,[ -9.03159131   5.5825819  140.5       ],"(-5, 2, 14)",[17 12 10]
23642,1.24,0.928692102432251,[ -8.56453549   5.60408352 142.5       ],"(-5, 2, 14)",[18 14  4]
24051,1.29,1.036377191543579,[ -9.12996182   6.21190649 137.5       ],"(-5, 3, 13)",[17 12 10]
24484,1.28,0.9469563961029053,[ -8.96038585   5.40096661 143.5       ],"(-5, 2, 14)",[18 19  4]
24893,1.28,1.0308899879455566,[ -8.35530435   6.76003985 137.5       ],"(-5, 3, 13)",[17 12 10]
25326,1.24,0.992877721786499,[ -8.58567091   5.8456108  141.5       ],"(-5, 2, 14)",[18 14  0]
25737,1.26,1.054091453552246,[ -8.8430873    6.22594926 139.5       ],"(-5, 3, 13)",[17 10 12]
26157,1.29,0.932542085647583,[ -8.60369542   5.3458191  141.        ],"(-5, 2, 14)",[18  4  5]
26575,1.28,1.0603926181793213,[ -8.8973908    6.58003369 142.        ],"(-5, 3, 14)",[17 10 15]
26988,1.2,0.9424669742584229,[ -9.46492801   5.48092238 138.5       ],"(-5, 2, 13)",[ 4  5 20]
27408,1.21,1.028658390045166,[ -9.05317708   6.14429938 139.5       ],"(-5, 3, 13)",[17  1 12]
27826,1.26,0.9532251358032227,[ -8.89639722   6.16363011 137.        ],"(-5, 3, 13)",[14  4  1]
28258,1.26,1.1135177612304688,[ -9.68468807   5.73220333 143.5       ],"(-5, 2, 14)",[17 10 22]
28677,1.25,0.9301955699920654,[ -8.49288291   6.99831921 137.        ],"(-5, 3, 13)",[ 4  0 19]
29099,1.31,1.0665273666381836,[ -8.9019695    5.77112886 145.        ],"(-5, 2, 14)",[17 12  1]
29518,1.16,0.8780968189239502,[ -8.34928875   6.61033392 135.5       ],"(-5, 3, 13)",[19  4  7]
29933,1.24,1.0231220722198486,[ -9.91750985   5.98429741 138.5       ],"(-5, 2, 13)",[17 12 10]
30356,1.63,0.9058728218078613,[ -8.40336615   6.59052773 141.        ],"(-5, 3, 14)",[0 5 4]
30781,1.29,1.050034761428833,[ -8.22064094   7.12048975 142.        ],"(-5, 3, 14)",[17 10 12]
