update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R
953,2.51,0.9768307209014893,[-16.64549266  -0.99556979 142.        ],"(-9, -1, 14)",[12 10 14]
1363,1.0,0.9655923843383789,[ -7.14142627   7.19103229 134.5       ],"(-4, 3, 13)",[17 18 21]
1792,0.99,0.9725544452667236,[ -5.89709479   7.363819   140.        ],"(-3, 3, 14)",[22  7 17]
2211,1.01,0.9964690208435059,[ -5.08714107   8.03668212 138.        ],"(-3, 4, 13)",[ 7  2 22]
2639,1.21,1.096353530883789,[ -6.03579832   7.39708081 142.        ],"(-4, 3, 14)",[12 17 18]
3057,1.11,1.030501365661621,[ -5.97002896   6.72111681 141.5       ],"(-3, 3, 14)",[ 2  7 22]
3468,1.16,1.059669017791748,[ -6.04984482   7.32452945 135.5       ],"(-4, 3, 13)",[12 17 18]
3879,1.17,1.002328634262085,[ -5.05747646   7.13614882 134.5       ],"(-3, 3, 13)",[ 0 24  7]
