update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L
891,2.31,1.187753677368164,[-16.64549266  -0.99556979 145.        ],"(-9, -1, 14)",[10  1 15]
1296,1.04,1.0260369777679443,[-10.33224789   0.65411278 140.        ],"(-6, 0, 14)",[23  2  8]
1712,1.01,0.9925072193145752,[ -9.00195471   2.83181669 140.        ],"(-5, 1, 14)",[23 19 10]
2137,0.99,0.9770071506500244,[ -9.47271117   2.72549106 142.        ],"(-5, 1, 14)",[23  0 16]
2559,1.05,1.0376224517822266,[ -9.26028096   2.17525024 141.        ],"(-5, 1, 14)",[10 19  1]
2977,1.07,1.055027961730957,[-10.47098957   1.61900198 140.        ],"(-6, 0, 14)",[23  0 20]
3396,0.96,0.9453916549682617,[-10.5026045    2.00306218 138.        ],"(-6, 1, 13)",[10 18  7]
3816,1.04,1.0271351337432861,[ -8.92371828   2.40131729 139.5       ],"(-5, 1, 13)",[23  0  8]
4228,0.97,0.9536159038543701,[ -9.79332583   2.77501322 137.5       ],"(-5, 1, 13)",[10 17 15]
4644,1.15,1.1351892948150635,[ -9.75516873   1.8129686  139.        ],"(-5, 0, 13)",[23  1  0]
5076,1.07,1.0499498844146729,[-10.17666304   2.34757258 143.        ],"(-6, 1, 14)",[23 21 19]
5500,1.01,0.9949569702148438,[-10.47272042   0.59130548 144.        ],"(-6, 0, 14)",[ 1 10 18]
5922,1.05,1.0342590808868408,[ -9.4081381    2.22521142 141.5       ],"(-5, 1, 14)",[23  0 13]
6328,1.03,1.0149853229522705,[ -8.40345073   3.75195263 134.        ],"(-5, 1, 13)",[17  1 10]
6759,1.08,1.0652801990509033,[-10.47546246   2.05276438 143.        ],"(-6, 1, 14)",[ 0 23  4]
7169,1.03,1.013911247253418,[-10.51194629   1.54103986 136.5       ],"(-6, 0, 13)",[ 1 10 17]
7588,1.06,1.0475339889526367,[ -9.77502552   3.64790309 137.5       ],"(-5, 1, 13)",[ 0 23 19]
8010,0.96,0.9472970962524414,[ -9.50728282   1.95552097 139.        ],"(-5, 0, 13)",[17 10 18]
8430,1.09,1.0705623626708984,[-10.25086618   1.97195366 143.        ],"(-6, 0, 14)",[ 0 23 13]
8851,0.97,0.9544358253479004,[ -9.98415709   2.94543528 143.        ],"(-5, 1, 14)",[18 10  7]
9266,1.1,1.0849370956420898,[ -9.46177094   2.51475072 136.        ],"(-5, 1, 13)",[23  2 13]
9690,1.02,1.0053412914276123,[ -8.79602461   3.17476302 143.5       ],"(-5, 1, 14)",[15 17 10]
10113,1.06,1.047292947769165,[ -9.21394637   2.90290225 139.5       ],"(-5, 1, 13)",[23  4  2]
10530,1.04,1.0220556259155273,[ -8.7372162    3.47871418 137.5       ],"(-5, 1, 13)",[ 4 10 14]
10948,1.08,1.0625364780426025,[-11.64146596   0.94083523 142.5       ],"(-6, 0, 14)",[24 23  2]
11382,1.07,1.053011178970337,[ -9.21908854   3.17734412 146.        ],"(-5, 1, 14)",[10  4  7]
11808,1.12,1.1013665199279785,[ -9.466863     2.72612768 139.        ],"(-5, 1, 13)",[23  2 24]
12218,1.07,1.0578927993774414,[ -9.23964939   3.27238973 135.5       ],"(-5, 1, 13)",[ 4 24  7]
12641,1.15,1.1350359916687012,[ -8.87608522   2.88453969 143.        ],"(-5, 1, 14)",[23  0 19]
13055,0.97,0.9586482048034668,[ -9.56962388   2.70298478 137.5       ],"(-5, 1, 13)",[10 17 18]
13489,1.15,1.1379480361938477,[ -9.7445328    3.02059217 144.5       ],"(-5, 1, 14)",[ 2  0 23]
13899,1.02,1.0037291049957275,[ -9.780892     1.69491106 139.5       ],"(-5, 0, 13)",[ 4 10  7]
14320,1.09,1.0776777267456055,[-10.14095778   2.32532742 140.5       ],"(-6, 1, 14)",[21 23  2]
14733,1.07,1.0535616874694824,[-11.11856936   1.13168963 141.        ],"(-6, 0, 14)",[19  4 10]
15154,1.08,1.065000295639038,[ -9.75171799   2.24711424 142.        ],"(-5, 1, 14)",[21  0 23]
15568,0.99,0.9764120578765869,[ -9.57797507   2.44050852 136.        ],"(-5, 1, 13)",[10 18  2]
15993,1.07,1.0595982074737549,[-10.66475657   1.5198637  142.5       ],"(-6, 0, 14)",[21  0 23]
16419,0.97,0.9571185111999512,[ -9.30919408   2.5053093  142.        ],"(-5, 1, 14)",[17  7 10]
16827,1.05,1.0314526557922363,[ -9.67639155   2.86839502 137.5       ],"(-5, 1, 13)",[21 23  0]
17253,0.99,0.969423770904541,[-10.22539792   2.36062801 143.5       ],"(-6, 1, 14)",[10  4 18]
17678,1.26,1.2402691841125488,[-10.74330856   2.31080241 143.        ],"(-6, 1, 14)",[23  0 13]
18112,0.97,0.9531786441802979,[-10.13693306   1.3756996  148.5       ],"(-6, 0, 14)",[10 17 15]
18517,1.05,1.0343520641326904,[ -9.18590603   2.1294413  138.        ],"(-5, 1, 13)",[23  0 13]
18943,1.16,1.1390221118927002,[ -8.67975219   3.21638087 143.        ],"(-5, 1, 14)",[10  2  4]
19356,1.09,1.0757501125335693,[ -9.93384207   1.6914308  137.5       ],"(-5, 0, 13)",[ 0 23 21]
19782,1.07,1.0545806884765625,[ -8.54851021   2.89782853 141.5       ],"(-5, 1, 14)",[ 1 10 17]
20191,1.12,1.099663496017456,[ -9.51210253   2.44571757 135.5       ],"(-5, 1, 13)",[23 13  0]
20626,1.05,1.038273572921753,[ -9.42981132   1.83162954 147.5       ],"(-5, 0, 14)",[ 1 18 10]
21036,1.13,1.1136374473571777,[ -8.86409871   2.88618186 139.5       ],"(-5, 1, 13)",[23 21 19]
21447,1.02,1.0065572261810303,[ -9.06074704   2.46953617 137.5       ],"(-5, 1, 13)",[ 1 10 15]
21869,1.09,1.0768980979919434,[ -8.83239098   2.80909184 137.        ],"(-5, 1, 13)",[23  0 13]
22294,1.04,1.019620656967163,[ -8.86129287   2.91899387 140.5       ],"(-5, 1, 14)",[17  1 15]
22709,1.17,1.1523730754852295,[ -8.57576915   3.18495009 137.5       ],"(-5, 1, 13)",[21 19  0]
23137,1.03,1.0168890953063965,[ -8.63441218   3.69212054 143.5       ],"(-5, 1, 14)",[ 1 10 17]
23562,1.11,1.0961449146270752,[ -8.80532293   3.9056771  142.5       ],"(-5, 1, 14)",[23  0 19]
23977,1.0,0.9798619747161865,[ -8.75748281   3.50468768 139.        ],"(-5, 1, 13)",[ 1 17 10]
24402,1.16,1.1387264728546143,[ -9.53438289   2.80726218 144.5       ],"(-5, 1, 14)",[19 21  0]
24814,1.04,1.0257008075714111,[ -9.15022531   2.08992408 137.5       ],"(-5, 1, 13)",[ 1 10  4]
25243,1.08,1.06502103805542,[ -9.26278902   3.12366672 145.        ],"(-5, 1, 14)",[ 0 19 23]
25658,1.0,0.9779815673828125,[ -8.66554975   3.31016302 137.5       ],"(-5, 1, 13)",[ 1 17 15]
26076,1.17,1.15403151512146,[ -9.23646018   2.58552606 141.        ],"(-5, 1, 14)",[19 21  0]
26490,1.07,1.0484626293182373,[ -9.09765413   2.95920629 138.5       ],"(-5, 1, 13)",[ 1 17  2]
26906,1.08,1.062556505203247,[ -9.74573877   2.79940405 138.        ],"(-5, 1, 13)",[ 0 19 23]
27323,1.03,1.0135087966918945,[ -9.75828954   1.74500799 142.        ],"(-5, 0, 14)",[17 15  1]
27746,1.1,1.086261510848999,[ -9.69762869   1.78927013 140.5       ],"(-5, 0, 14)",[ 0 19 23]
28169,1.03,1.0152628421783447,[ -9.84197906   2.5475757  138.5       ],"(-5, 1, 13)",[ 1  7 15]
28593,1.15,1.1392688751220703,[ -9.04804698   3.31130679 138.5       ],"(-5, 1, 13)",[19 21  0]
29017,1.06,1.0470995903015137,[ -9.20555902   2.68125638 144.5       ],"(-5, 1, 14)",[ 1 17 10]
29435,1.11,1.096435785293579,[ -8.58532477   3.39691313 138.        ],"(-5, 1, 13)",[23 19  0]
29849,1.05,1.0364420413970947,[ -9.05037099   2.9089158  139.        ],"(-5, 1, 13)",[24  1  7]
30279,1.49,1.4783165454864502,[ -9.15311337   2.58332223 142.        ],"(-5, 1, 14)",[19 21  0]
30698,1.07,1.0552663803100586,[ -9.05898082   1.93509031 143.5       ],"(-5, 0, 14)",[24 17  1]
