update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L
905,2.12,1.1460914611816406,[-16.64549266  -0.99556979 110.        ],"(-9, -1, 11)",[5 1]
1237,0.93,0.9137465953826904,[ -8.03888053   2.10296536 109.        ],"(-5, 1, 10)",[19 16]
1565,0.82,0.8055694103240967,[ -5.61912227   2.61078209 107.5       ],"(-3, 1, 10)",[25  1]
1893,0.92,0.9052906036376953,[ -7.12437243   1.69883941 111.5       ],"(-4, 0, 11)",[19 13]
2224,0.88,0.8639745712280273,[ -6.62831414   0.74809625 111.        ],"(-4, 0, 11)",[25  1]
2554,0.94,0.9230210781097412,[ -5.1171308    2.09541142 110.5       ],"(-3, 1, 11)",[ 2 13]
2891,0.89,0.8773667812347412,[ -8.24242835   1.30605864 115.        ],"(-5, 0, 11)",[25 19]
3223,0.89,0.8718123435974121,[ -6.86048661   1.75755672 111.5       ],"(-4, 0, 11)",[ 1 25]
3555,0.89,0.8762438297271729,[ -8.10839691   2.10938632 108.5       ],"(-5, 1, 10)",[7 0]
3894,0.86,0.8440990447998047,[-7.53508928e+00  5.80556370e-02  1.12500000e+02],"(-4, 0, 11)",[25  1]
