update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R
964,1.57,0.5092349052429199,None,"('N', 'o', 'n', 'e')",None
1300,0.52,0.5071091651916504,None,"('N', 'o', 'n', 'e')",None
1629,0.51,0.49411916732788086,None,"('N', 'o', 'n', 'e')",None
1961,0.54,0.5224659442901611,None,"('N', 'o', 'n', 'e')",None
2292,0.54,0.5261411666870117,None,"('N', 'o', 'n', 'e')",None
2616,0.56,0.5455365180969238,None,"('N', 'o', 'n', 'e')",None
2945,0.55,0.536130428314209,None,"('N', 'o', 'n', 'e')",None
3279,0.53,0.5154004096984863,None,"('N', 'o', 'n', 'e')",None
3617,0.57,0.5578477382659912,None,"('N', 'o', 'n', 'e')",None
3944,0.55,0.5357065200805664,None,"('N', 'o', 'n', 'e')",None
