timestamp,mtr_pos_L,mtr_pos_R,mtr_vel_L,mtr_vel_R,GRF_L,GRF_R,CoP_L,CoP_R,gpio_output
10.000000715255737,29.900000000000006,-3.8000000000000007,-11.170107212763709,17.453292519943297,0.290746157154199,0.8770244164363287,0.3570905327796936,0.006598907057195902,0.0
10.010000944137573,29.900000000000006,-3.7000000000000006,-11.170107212763709,6.283185307179586,0.290746157154199,0.8770244164363287,0.3570905327796936,0.006598907057195902,1.0
10.02000093460083,29.300000000000004,-3.8000000000000007,-31.93952531149623,-0.5235987755982988,0.290746157154199,0.8770244164363287,0.3570905327796936,0.006598907057195902,1.0
10.030000925064087,28.3,-3.8000000000000007,-53.581608036225916,-0.17453292519943295,0.4917558460509292,0.727463636007214,0.26136496663093567,0.027447368949651718,1.0
10.040000915527344,26.6,-3.8000000000000007,-73.6528944341607,-0.5235987755982988,0.4917558460509292,0.727463636007214,0.26136496663093567,0.027447368949651718,1.0
10.0500009059906,25.400000000000002,-3.8000000000000007,-76.96902001294993,-0.17453292519943295,0.4917558460509292,0.727463636007214,0.26136496663093567,0.027447368949651718,1.0
10.060001134872437,24.0,-3.8000000000000007,-77.14355293814937,-0.0,0.7813055169616953,0.5623485344134713,0.1517350673675537,0.07865957915782928,1.0
10.070000886917114,22.6,-3.8000000000000007,-74.87462491055673,0.17453292519943295,0.7813055169616953,0.5623485344134713,0.1517350673675537,0.07865957915782928,1.0
10.080000638961792,21.300000000000004,-3.7000000000000006,-72.95476273336297,0.8726646259971648,0.7813055169616953,0.5623485344134713,0.1517350673675537,0.07865957915782928,1.0
10.090000867843628,20.1,-3.7000000000000006,-69.98770300497262,1.9198621771937625,0.9051418431570023,0.3888580291156983,0.15634039044380188,0.16084615886211395,1.0
10.100000858306885,17.1,-3.5,-82.72860654453122,10.821041362364843,0.9051418431570023,0.3888580291156983,0.15634039044380188,0.16084615886211395,1.0
10.11000108718872,17.1,-3.1,-82.72860654453122,20.943951023931955,0.9051418431570023,0.3888580291156983,0.15634039044380188,0.16084615886211395,1.0
10.120000839233398,15.600000000000001,-2.5,-83.95033702092725,32.11405823669566,0.9051418431570023,0.3888580291156983,0.15634039044380188,0.16084615886211395,1.0
10.130000591278076,14.100000000000003,-1.8000000000000003,-79.06341511534313,38.22271061867582,0.9051418431570023,0.3888580291156983,0.15634039044380188,0.16084615886211395,1.0
10.140000820159912,12.9,-1.1,-66.32251157578452,37.69911184307752,0.9865029077104407,0.17229401905434016,0.14580897986888885,0.5109999775886536,1.0
10.150000810623169,11.8,-0.30000000000000004,-62.13372137099813,40.66617157146788,0.9865029077104407,0.17229401905434016,0.14580897986888885,0.5109999775886536,1.0
10.160000801086426,10.700000000000001,0.30000000000000004,-61.4355896702004,41.18977034706618,0.9942800682927546,0.04127877539843566,0.1295318901538849,2.0327391624450684,1.0
10.170000553131104,9.700000000000001,1.1,-56.89773361501514,40.66617157146788,0.9942800682927546,0.04127877539843566,0.1295318901538849,2.0327391624450684,1.0
10.18000078201294,8.6,1.8000000000000003,-60.56292504420323,41.538836197465045,0.9942800682927546,0.04127877539843566,0.1295318901538849,2.0327391624450684,1.0
10.190000772476196,7.300000000000001,2.5,-68.94050545377601,35.95378259108319,0.967359127815514,0.003589458730298753,0.13264502584934235,24.222333908081055,1.0
10.200000762939453,6.0,3.0,-70.33676885537147,32.46312408709453,0.967359127815514,0.003589458730298753,0.13264502584934235,24.222333908081055,1.0
10.21000075340271,4.9,3.5,-64.92624817418906,26.878070480712676,0.967359127815514,0.003589458730298753,0.13264502584934235,24.222333908081055,0.0
10.220001220703125,3.8000000000000007,3.8000000000000007,-57.07226654021458,18.32595714594046,0.967359127815514,0.003589458730298753,0.13264502584934235,24.222333908081055,0.0
