timestamp,mtr_pos_L,mtr_pos_R,mtr_vel_L,mtr_vel_R,GRF_L,GRF_R,CoP_L,CoP_R,gpio_output
10.000000476837158,28.0,1.5,-0.17453292519943295,0.3490658503988659,0.0,0.9930835820493217,0.0,0.12177108228206635,0.0
10.010000705718994,28.0,1.5,-0.5235987755982988,-0.0,0.0,0.9972712839013369,0.0,0.12883202731609344,1.0
10.02000117301941,28.0,1.6,-0.8726646259971648,1.2217304763960306,0.0,0.9972712839013369,0.0,0.12883202731609344,1.0
10.030000925064087,28.0,1.6,-0.8726646259971648,-0.0,0.0,0.9972712839013369,0.0,0.12883202731609344,1.0
10.040000915527344,27.9,1.6,-4.886921905584122,-0.0,0.0,1.037951816178056,0.0,0.12312103807926178,1.0
10.050000667572021,27.700000000000003,1.6,-11.519173063162574,-0.0,0.0,1.037951816178056,0.0,0.12312103807926178,1.0
10.060000658035278,27.3,1.6,-18.500490071139893,-0.0,0.0,1.037951816178056,0.0,0.12312103807926178,1.0
10.070000886917114,26.900000000000002,1.6,-24.609142453120047,-0.17453292519943295,0.0,1.037951816178056,0.0,0.12312103807926178,1.0
10.080000638961792,26.200000000000003,1.6,-34.90658503988659,-0.0,0.0,1.1025620733234336,0.0,0.13848453760147095,1.0
10.09000039100647,25.400000000000002,1.6,-42.93509959906051,-0.17453292519943295,0.0,1.1025620733234336,0.0,0.13848453760147095,1.0
10.100000858306885,24.5,1.5,-47.99655442984406,-0.8726646259971648,0.0,1.1025620733234336,0.0,0.13848453760147095,1.0
10.110000610351562,23.6,1.5,-52.53441048502932,-1.9198621771937625,0.0,1.1115357201491807,0.0,0.14669644832611084,1.0
10.120000839233398,22.6,1.4000000000000004,-52.35987755982988,-7.3303828583761845,0.0,1.1115357201491807,0.0,0.14669644832611084,1.0
10.130001068115234,21.6,1.0,-50.78908123303499,-18.32595714594046,0.0,1.1127322063926135,0.0,0.14706452190876007,1.0
10.140000581741333,20.900000000000006,0.4,-44.85496177625427,-31.93952531149623,0.0,1.1127322063926135,0.0,0.14706452190876007,1.0
