timestamp,Thigh_L_Acc_X,Thigh_L_Acc_Y,Thigh_L_Acc_Z,Thigh_L_Gyr_X,Thigh_L_Gyr_Y,Thigh_L_Gyr_Z,Thigh_R_Acc_X,Thigh_R_Acc_Y,Thigh_R_Acc_Z,Thigh_R_Gyr_X,Thigh_R_Gyr_Y,Thigh_R_Gyr_Z,gpio_output
10.000000476837158,-16.871939099121093,-4.132392065429687,4.201823913574218,47.83206106870229,26.65648854961832,2.030534351145038,-14.085088366699217,-3.0262708984374997,3.976768957519531,-14.931297709923664,-28.85496183206107,-8.961832061068701,0.0
10.010000705718994,-19.93172882080078,2.626439221191406,3.189076611328125,38.01526717557252,26.82442748091603,-9.618320610687023,-13.99410870361328,-1.7190367919921874,2.5570073730468748,-11.603053435114504,-45.404580152671755,-12.01526717557252,1.0
10.020000696182251,-13.388375683593749,0.6344634399414062,-4.058171813964844,18.580152671755727,19.114503816793892,-7.770992366412214,-13.520056774902343,-1.2042834350585936,2.39420166015625,-16.427480916030536,-57.083969465648856,-14.183206106870228,1.0
10.030000925064087,-10.996568225097656,0.9193734375,-4.637568615722656,0.13740458015267176,25.16030534351145,-10.992366412213741,-14.118607189941406,-1.8698714965820311,1.7429788085937499,-3.6946564885496183,-70.70229007633588,-13.969465648854962,1.0
10.040000438690186,-4.477157104492187,-4.000710974121094,-9.605537060546874,-12.82442748091603,25.358778625954198,-13.419847328244275,-14.707580798339842,0.6296750366210937,-1.0821791503906248,12.687022900763358,-84.4885496183206,-16.580152671755727,1.0
10.0500009059906,-4.42448466796875,-4.266467358398438,-7.1203557373046875,7.6183206106870225,53.9236641221374,-16.82442748091603,-13.728352319335936,4.108450048828125,-4.276044165039062,-3.8931297709923665,-87.5114503816794,-19.603053435114504,1.0
10.060000658035278,-2.138022082519531,-4.936843823242187,-9.375693701171874,20.80916030534351,66.29007633587786,-22.106870229007633,-14.288595507812499,3.3255461059570313,-4.910507604980468,-3.4656488549618323,-84.61068702290076,-15.16030534351145,1.0
10.070000648498535,-5.085284326171875,-2.221819140625,-7.3932947265625,44.94656488549618,94.73282442748092,-29.206106870229007,-14.013262316894531,3.5290532470703124,-5.832275244140624,-11.740458015267176,-81.49618320610686,-10.061068702290076,1.0
10.080000638961792,-5.197811804199218,-1.1635820068359375,-7.735665563964844,47.17557251908397,99.86259541984732,-35.11450381679389,-13.51526837158203,2.626439221191406,-5.025429284667968,-17.236641221374047,-77.45038167938931,-5.801526717557252,1.0
10.09000039100647,-10.802637890625,3.967192150878906,-3.1076737548828124,63.9236641221374,123.92366412213741,-32.80916030534351,-13.6756798828125,0.6536170532226562,-3.785232824707031,-22.580152671755727,-72.70229007633588,-1.9083969465648856,1.0
