update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R,replayed_bins_task_label_R
933,1.89,0.5238797664642334,None,"('N', 'o', 'n', 'e')",None,None
1382,0.56,0.54207444190979,None,"('N', 'o', 'n', 'e')",None,None
1745,0.44,0.42713499069213867,None,"('N', 'o', 'n', 'e')",None,None
2085,0.49,0.4774031639099121,None,"('N', 'o', 'n', 'e')",None,None
2487,0.48,0.4605860710144043,None,"('N', 'o', 'n', 'e')",None,None
2772,0.46,0.44518589973449707,None,"('N', 'o', 'n', 'e')",None,None
3189,0.46,0.44547080993652344,None,"('N', 'o', 'n', 'e')",None,None
3608,0.47,0.45735740661621094,None,"('N', 'o', 'n', 'e')",None,None
