update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R,replayed_bins_task_label_R
947,2.52,0.9270825386047363,[-17.4363338   -1.94581844 108.5       ],"(-9, -1, 10)","[0, 4, 3, 2]","[(0, 0.3), (0, 0.3), (0, 0.3), (0, 0.3)]"
1282,0.9,0.8815979957580566,[-12.40119264   3.25757101 111.        ],"(-7, 1, 11)","[0, 3, 1, 6]","[(0, 0.3), (0, 0.3), (0, 0.3), (0, 0.7)]"
1607,0.9,0.8864428997039795,[-11.52914951   3.51902613 109.        ],"(-6, 1, 10)","[7, 4, 3, 0]","[(0, 0.7), (0, 0.3), (0, 0.3), (0, 0.3)]"
1944,0.99,0.9689223766326904,[-11.52174615   5.24209945 113.5       ],"(-6, 2, 11)","[1, 3, 4, 0]","[(0, 0.3), (0, 0.3), (0, 0.3), (0, 0.3)]"
2282,0.79,0.7782089710235596,[-11.66828215   5.0807574  112.        ],"(-6, 2, 11)","[7, 1, 0]","[(0, 0.7), (0, 0.3), (0, 0.3)]"
2614,0.91,0.897315502166748,[-11.74507988   4.57266653 109.        ],"(-6, 2, 10)","[0, 9, 7, 3]","[(0, 0.3), (0, 0.7), (0, 0.7), (0, 0.3)]"
2947,1.01,0.989349365234375,[-12.33850805   3.79648589 111.        ],"(-7, 1, 11)","[1, 4, 3, 0]","[(0, 0.3), (0, 0.3), (0, 0.3), (0, 0.3)]"
3274,0.65,0.6335024833679199,[-11.87813525   2.97082604 106.5       ],"(-6, 1, 10)","[9, 0]","[(0, 0.7), (0, 0.3)]"
3602,0.95,0.9385371208190918,[-11.93587812   4.28514058 109.5       ],"(-6, 2, 10)","[1, 8, 4, 3]","[(0, 0.3), (0, 0.7), (0, 0.3), (0, 0.3)]"
3935,0.7,0.683096170425415,[-11.03599751   4.43115816 111.5       ],"(-6, 2, 11)","[8, 0, 7]","[(0, 0.7), (0, 0.3), (0, 0.7)]"
