timestamp,gait_phase_L,gait_phase_R,mtr_cmd_L,mtr_cmd_R,incline,speed,gpio_output
10.000000476837158,90.97903320106585,28.370430859801978,-0.15202674024991789,-0.4107835900944244,-10,0.7,0.0
10.010000705718994,90.97903320106585,28.370430859801978,-0.15202674024991789,-0.4107835900944244,-10,0.7,1.0
10.020000696182251,93.12807095357249,29.91306112707263,-0.7554692477324132,-0.27383341731935834,-10,0.7,1.0
10.030000686645508,93.12807095357249,29.91306112707263,-0.7554692477324132,-0.27383341731935834,-10,0.7,1.0
10.040000677108765,95.21346028812899,31.4651530196838,-1.322760732498688,-0.07655899006727984,-10,0.7,1.0
10.050000429153442,95.21346028812899,31.4651530196838,-1.322760732498688,-0.07655899006727984,-10,0.7,1.0
10.0600004196167,97.97543413328697,33.069945385960374,-1.9528736665094535,-0.00024074172539019576,-10,0.7,1.0
10.070000648498535,97.97543413328697,33.069945385960374,-1.9528736665094535,-0.00024074172539019576,-10,0.7,1.0
10.08023452758789,1.1796925352055299,34.72392517328494,-2.8861287825255464,0.0,-10,0.7,1.0
10.090000629425049,1.1796925352055299,34.72392517328494,-2.8861287825255464,0.0,-10,0.7,1.0
10.100000858306885,4.0389759766334095,36.411848185678174,-3.6272062961984934,0.0346049984696765,-10,0.7,1.0
10.110000371932983,4.0389759766334095,36.411848185678174,-3.6272062961984934,0.0346049984696765,-10,0.7,1.0
10.120001077651978,6.560604737647517,38.190206970731836,-3.9156701593770005,0.1671626934468765,-10,0.7,1.0
10.130000591278076,6.560604737647517,38.190206970731836,-3.9156701593770005,0.1671626934468765,-10,0.7,1.0
10.140000343322754,8.601206363937326,39.97294319001994,-3.9762298116192913,0.26620947504466763,-10,0.7,1.0
10.150078296661377,8.601206363937326,39.97294319001994,-3.9762298116192913,0.26620947504466763,-10,0.7,1.0
10.160000562667847,10.719343833085064,42.51242967619483,-3.870126960262134,0.671250871519148,-10,0.7,1.0
10.170000314712524,10.719343833085064,42.51242967619483,-3.870126960262134,0.671250871519148,-10,0.7,1.0
