update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R,replayed_bins_task_label_R
955,2.58,0.8463759422302246,[-17.4363338   -1.94581844 119.5       ],"(-9, -1, 11)",[10  7  5  4],"[[10.   0.3]
 [ 0.   0.7]
 [ 0.   0.7]
 [ 0.   0.7]]"
1280,0.96,0.9471437931060791,[-10.41763273   6.64917243 108.5       ],"(-6, 3, 10)",[11 12  1  0],"[[10.   0.3]
 [10.   0.7]
 [ 0.   0.3]
 [ 0.   0.3]]"
1613,0.89,0.8690929412841797,[ -8.43333909   6.72969154 115.        ],"(-5, 3, 11)",[ 7  5 10  4],"[[ 0.   0.7]
 [ 0.   0.7]
 [10.   0.3]
 [ 0.   0.7]]"
1937,1.01,0.9957101345062256,[-10.56242328   7.30892972 105.        ],"(-6, 3, 10)",[11  1  0 13],"[[10.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]
 [10.   0.7]]"
2262,0.84,0.8220517635345459,[ -9.57860977   6.64703894 111.5       ],"(-5, 3, 11)",[ 7  5 10 12],"[[ 0.   0.7]
 [ 0.   0.7]
 [10.   0.3]
 [10.   0.7]]"
2603,0.97,0.9559593200683594,[ -9.63784918   8.19065984 115.5       ],"(-5, 4, 11)",[11 14 13  1],"[[10.   0.3]
 [10.   0.7]
 [10.   0.7]
 [ 0.   0.3]]"
2928,0.89,0.874873161315918,[ -8.12246331   7.44126086 107.        ],"(-5, 3, 10)",[ 7 12  5 10],"[[ 0.   0.7]
 [10.   0.7]
 [ 0.   0.7]
 [10.   0.3]]"
3258,0.99,0.9784185886383057,[ -8.1467044    8.96973458 108.5       ],"(-5, 4, 10)",[11 14  1  0],"[[10.   0.3]
 [10.   0.7]
 [ 0.   0.3]
 [ 0.   0.3]]"
3596,0.94,0.923248291015625,[ -6.443412     8.99178303 114.5       ],"(-4, 4, 11)",[16  7 10  5],"[[10.   0.7]
 [ 0.   0.7]
 [10.   0.3]
 [ 0.   0.7]]"
3927,0.94,0.9261476993560791,[ -6.92050881  10.69148242 110.        ],"(-4, 5, 11)",[14 13 11 17],"[[10.   0.7]
 [10.   0.7]
 [10.   0.3]
 [10.   0.7]]"
