timestamp,Thigh_L_Acc_X,Thigh_L_Acc_Y,Thigh_L_Acc_Z,Thigh_L_Gyr_X,Thigh_L_Gyr_Y,Thigh_L_Gyr_Z,Thigh_R_Acc_X,Thigh_R_Acc_Y,Thigh_R_Acc_Z,Thigh_R_Gyr_X,Thigh_R_Gyr_Y,Thigh_R_Gyr_Z,gpio_output
10.000000476837158,-10.644620581054687,4.240131140136718,3.603273498535156,-21.419847328244273,70.90076335877863,-22.83969465648855,-8.657433203124999,0.12210428466796874,-1.0869675537109373,3.1603053435114505,-52.30534351145038,-2.8244274809160306,0.0
10.010000944137573,-10.204087475585936,3.303998291015625,3.23696064453125,-32.18320610687023,65.7557251908397,-20.48854961832061,-9.176974963378905,-0.45968671875,-1.2473790649414063,11.053435114503817,-49.19083969465649,-3.450381679389313,1.0
10.020000696182251,-11.63821427001953,4.436455676269531,4.242525341796875,-33.00763358778626,64.03053435114504,-21.450381679389313,-8.40843623046875,0.35673604736328124,-2.5641899780273434,13.709923664122137,-47.29770992366412,-5.786259541984733,1.0
10.030000925064087,-9.433154541015625,2.24097275390625,2.9975404785156248,-35.80152671755725,59.70992366412214,-18.977099236641223,-8.020575561523437,2.4660277099609376,-2.6910826660156246,12.885496183206106,-41.954198473282446,-6.717557251908397,1.0
10.040000677108765,-10.386046801757812,2.118868469238281,3.5673604736328124,-32.916030534351144,63.954198473282446,-19.938931297709924,-7.453149768066406,2.2385785522460937,-2.4061726684570313,4.076335877862595,-31.87786259541985,-5.572519083969466,1.0
10.0500009059906,-8.01818135986328,0.2346317626953125,1.7477672119140624,-26.9618320610687,62.412213740458014,-19.267175572519083,-7.4794859863281244,3.0454245117187497,-2.6623522460937497,-0.8702290076335878,-26.427480916030536,-6.885496183206107,1.0
10.060000896453857,-12.562376110839843,3.775656018066406,3.9312791259765625,-23.51145038167939,71.43511450381679,-24.900763358778626,-8.396465222167969,1.2138602416992186,-1.8124106567382812,-6.076335877862595,-16.229007633587788,-3.068702290076336,1.0
10.070000648498535,-10.606313354492187,3.3399113159179685,2.5522189697265625,-40.61068702290076,59.267175572519086,-22.68702290076336,-8.394071020507813,2.0973206542968748,-2.068590234375,-5.526717557251908,-16.0,-3.633587786259542,1.0
10.080000638961792,-9.775525378417969,1.6328455322265625,3.0310593017578125,-29.49618320610687,67.16030534351145,-17.83206106870229,-8.147468249511718,2.3582886352539063,-1.917755529785156,-8.595419847328245,-13.48091603053435,-3.633587786259542,1.0
10.09000039100647,-8.968679418945312,1.9033903198242186,2.7940333374023436,-32.67175572519084,64.1526717557252,-20.396946564885496,-8.547299926757812,2.3247698120117186,-1.455674609375,-8.900763358778626,-12.15267175572519,-2.8091603053435112,1.0
10.100001096725464,-13.644555261230469,4.254496350097656,5.109226342773437,-41.06870229007634,66.16793893129771,-23.083969465648856,-9.641450085449218,0.8714894042968749,-0.26815058593749996,-4.564885496183206,-10.931297709923664,-1.1145038167938932,1.0
10.110036611557007,-11.329362255859374,2.118868469238281,3.0406361083984375,-47.52671755725191,55.61832061068702,-18.65648854961832,-10.256759912109374,1.2306196533203124,-0.3950432739257812,2.4885496183206106,-15.129770992366412,-2.0610687022900764,1.0
