update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L
980,0.91,0.6873118877410889,None,"('N', 'o', 'n', 'e')",None
1405,0.59,0.5011193752288818,None,"('N', 'o', 'n', 'e')",None
1817,0.62,0.5299408435821533,None,"('N', 'o', 'n', 'e')",None
2232,0.56,0.5187146663665771,None,"('N', 'o', 'n', 'e')",None
2654,0.61,0.48923635482788086,None,"('N', 'o', 'n', 'e')",None
3089,0.64,0.5200872421264648,None,"('N', 'o', 'n', 'e')",None
3516,0.53,0.5083003044128418,None,"('N', 'o', 'n', 'e')",None
3927,0.61,0.5077579021453857,None,"('N', 'o', 'n', 'e')",None
