update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R,replayed_bins_task_label_R
957,0.99,0.20925617218017578,[-17.4363338   -1.94581844 111.        ],"(-9, -1, 11)",[],[]
1281,0.66,0.6130456924438477,[-14.02366364   3.49702534 109.        ],"(-8, 1, 10)","[3, 1, 0]","[(0, 0.7), (0, 0.3), (0, 0.3)]"
1603,0.44,0.4273254871368408,[-12.11704415   5.54882259 106.        ],"(-7, 2, 10)","[4, 3]","[(0, 0.7), (0, 0.7)]"
1938,0.67,0.6536402702331543,[-12.2233841    5.60070254 111.5       ],"(-7, 2, 11)","[0, 1, 4]","[(0, 0.3), (0, 0.3), (0, 0.7)]"
2263,0.56,0.5475442409515381,[-12.02722916   5.62459404 107.        ],"(-7, 2, 10)","[0, 1]","[(0, 0.3), (0, 0.3)]"
2600,0.26,0.23991990089416504,[-12.16218351   5.54972273 112.        ],"(-7, 2, 11)",[],[]
2928,0.38,0.36612844467163086,[-12.19578335   5.63977757 110.        ],"(-7, 2, 11)",[5],"[(0, 0.7)]"
3262,0.69,0.6745641231536865,[-12.51970185   5.25728864 110.        ],"(-7, 2, 11)","[0, 3, 1]","[(0, 0.3), (0, 0.7), (0, 0.3)]"
3597,0.66,0.6447670459747314,[-11.40532257   6.00966292 112.        ],"(-6, 3, 11)","[6, 5, 0]","[(0, 0.7), (0, 0.7), (0, 0.3)]"
3923,0.36,0.270005464553833,[-11.74852017   5.43477507 108.5       ],"(-6, 2, 10)",[],[]
