update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
903,2.34,1.3433959484100342,[-17.4363338   -1.94581844 115.        ],"(-9, -1, 11)",[27  6 11 26],"[[ 0.   0.7]
 [ 0.   0.7]
 [10.   0.3]
 [ 0.   0.7]]"
1235,1.05,0.9738271236419678,[-13.02634753   2.39841431 111.5       ],"(-7, 1, 11)",[ 7 19  3 18],"[[ 0.   0.7]
 [10.   0.7]
 [ 0.   0.7]
 [10.   0.7]]"
1554,1.11,1.0972223281860352,[-11.08612111   5.12154548 107.5       ],"(-6, 2, 10)",[27 16 26 13],"[[ 0.   0.7]
 [10.   0.7]
 [ 0.   0.7]
 [10.   0.3]]"
1881,1.14,1.1207244396209717,[-11.82675582   2.46941855 111.5       ],"(-6, 1, 11)",[7 3 4 9],"[[ 0.   0.7]
 [ 0.   0.7]
 [ 0.   0.7]
 [10.   0.3]]"
2195,1.16,1.1422743797302246,[-10.44062074   3.9477393  105.        ],"(-6, 1, 10)",[27 15 16 26],"[[ 0.   0.7]
 [10.   0.7]
 [10.   0.7]
 [ 0.   0.7]]"
2538,1.1,1.0800082683563232,[-11.86475089   3.83546448 113.5       ],"(-6, 1, 11)",[ 7  3 14  4],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
2876,1.13,1.1160244941711426,[-10.81111181   3.7319373  111.5       ],"(-6, 1, 11)",[27 26  6 22],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [-10.    0.3]]"
3208,1.05,1.0324926376342773,[-10.05862855   4.18106736 111.        ],"(-6, 2, 11)",[ 7 14  3 26],"[[  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [-10.    0.7]]"
3531,1.11,1.0903964042663574,[-10.16684972   5.70452496 104.5       ],"(-6, 2, 10)",[28 27  6 22],"[[-10.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [-10.    0.3]]"
3864,1.02,1.0068714618682861,[-10.18441205   4.30041797 111.5       ],"(-6, 2, 11)",[ 7 14  3 26],"[[  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [-10.    0.7]]"
