update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
894,1.41,0.32636141777038574,[-17.4363338   -1.94581844 113.        ],"(-9, -1, 11)",[],[]
1217,0.69,0.6735236644744873,[-13.54949391   0.46221529 107.        ],"(-7, 0, 10)","[0, 1, 3]","[(0, 0.3), (0, 0.3), (0, 0.7)]"
1543,0.48,0.46323084831237793,[-12.53146333   0.75770419 108.        ],"(-7, 0, 10)","[3, 0]","[(0, 0.7), (0, 0.3)]"
1873,0.46,0.4438333511352539,[-11.96540302   1.85943369 110.5       ],"(-6, 0, 11)","[4, 3]","[(0, 0.7), (0, 0.7)]"
2202,0.57,0.5528988838195801,[-12.02817954   1.0639585  110.        ],"(-7, 0, 11)","[1, 0]","[(0, 0.3), (0, 0.3)]"
2537,0.44,0.42295408248901367,[-12.40357225   1.23682983 113.5       ],"(-7, 0, 11)",[0],"[(0, 0.3)]"
2866,0.48,0.46315860748291016,[-12.47662316   0.85563878 109.        ],"(-7, 0, 10)","[3, 4]","[(0, 0.7), (0, 0.7)]"
3198,0.6,0.5878994464874268,[-12.09349468   2.0923065  110.5       ],"(-7, 1, 11)","[0, 1]","[(0, 0.3), (0, 0.3)]"
3530,0.54,0.5284690856933594,[-11.51863002   1.77058692 109.5       ],"(-6, 0, 10)","[7, 6]","[(0, 0.7), (0, 0.7)]"
3860,0.71,0.6987082958221436,[-11.6502454    1.89998487 110.        ],"(-6, 0, 11)","[0, 1, 4]","[(0, 0.3), (0, 0.3), (0, 0.7)]"
