update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L
997,0.28,0.22221612930297852,None,"('N', 'o', 'n', 'e')",None
1426,0.25,0.23731446266174316,None,"('N', 'o', 'n', 'e')",None
1850,0.26,0.23921895027160645,None,"('N', 'o', 'n', 'e')",None
2269,0.22,0.2050933837890625,None,"('N', 'o', 'n', 'e')",None
2684,0.25,0.2358407974243164,None,"('N', 'o', 'n', 'e')",None
3110,0.22,0.199812650680542,None,"('N', 'o', 'n', 'e')",None
3536,0.22,0.20406818389892578,None,"('N', 'o', 'n', 'e')",None
3949,0.23,0.21359682083129883,None,"('N', 'o', 'n', 'e')",None
