update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
13184,2.03,1.2355389595031738,[-14.35696952  -0.95591965 144.5       ],"(-8, -1, 14)",[20 11 24  4],"[[ 10.    0.7]
 [  0.    0.3]
 [-10.    0.3]
 [  0.    0.7]]"
13589,1.86,1.07692289352417,[-13.63745084   0.56920544 134.5       ],"(-7, 0, 13)",[29 27  8  5],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
14011,1.96,1.1447820663452148,[-13.42250154   0.53078235 143.        ],"(-7, 0, 14)",[20  7 24  4],"[[ 10.    0.7]
 [-10.    0.7]
 [-10.    0.3]
 [  0.    0.7]]"
14432,1.87,1.1478655338287354,[-12.9318052    0.56943339 139.5       ],"(-7, 0, 13)",[17 16 18 14],"[[10.   0.7]
 [10.   0.7]
 [10.   0.7]
 [10.   0.3]]"
14845,1.94,1.1108639240264893,[-12.88035411   0.40390566 138.        ],"(-7, 0, 13)",[20 24  4  7],"[[ 10.    0.7]
 [-10.    0.3]
 [  0.    0.7]
 [-10.    0.7]]"
15258,1.95,1.1630957126617432,[-14.03923083   0.37598362 139.5       ],"(-8, 0, 13)",[ 0 16 18 17],"[[ 0.   0.3]
 [10.   0.7]
 [10.   0.7]
 [10.   0.7]]"
15684,2.14,1.3413913249969482,[-15.02304972  -0.94659774 138.5       ],"(-8, -1, 13)",[20  2 24 23],"[[10.   0.7]
 [10.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]]"
16096,1.96,1.124382495880127,[-1.27271781e+01  1.20235080e-01  1.38000000e+02],"(-7, 0, 13)",[29 27  6  8],"[[-10.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [-10.    0.7]]"
16508,1.99,1.2730584144592285,[-12.9415746    0.96427411 133.        ],"(-7, 0, 13)",[20 23 24  7],"[[ 10.    0.7]
 [  0.    0.3]
 [  0.    0.3]
 [-10.    0.7]]"
16939,2.07,1.1553962230682373,[-12.2406044    1.76103924 142.5       ],"(-7, 0, 14)",[ 0 17 16 18],"[[ 0.   0.3]
 [10.   0.7]
 [10.   0.7]
 [10.   0.7]]"
17355,2.01,1.2776784896850586,[-12.70202931   0.67837402 136.5       ],"(-7, 0, 13)",[20 11 23 30],"[[10.   0.7]
 [ 0.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]]"
17785,1.94,1.158247470855713,[-1.32909135e+01 -2.83054234e-02  1.47000000e+02],"(-7, -1, 14)",[ 0  5 27 29],"[[  0.    0.3]
 [-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
18206,2.05,1.2750277519226074,[-13.47291888  -0.32467617 137.5       ],"(-7, -1, 13)",[24 11  1 20],"[[ 0.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]
 [10.   0.7]]"
18632,1.94,1.1036474704742432,[-12.81702569   1.22407223 142.        ],"(-7, 0, 14)",[17 16 18 27],"[[ 10.    0.7]
 [ 10.    0.7]
 [ 10.    0.7]
 [-10.    0.7]]"
19052,1.94,1.2599384784698486,[-13.75825738  -0.36005775 141.5       ],"(-7, -1, 14)",[ 0 20  2 13],"[[ 0.   0.3]
 [10.   0.7]
 [10.   0.3]
 [ 0.   0.3]]"
19469,1.87,1.118229627609253,[-12.86341874   0.33265078 140.        ],"(-7, 0, 14)",[27  6 29 16],"[[-10.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [ 10.    0.7]]"
19892,2.19,1.311521053314209,[-12.83196232   1.05903497 142.5       ],"(-7, 0, 14)",[11 20 13 24],"[[ 0.   0.3]
 [10.   0.7]
 [ 0.   0.3]
 [ 0.   0.3]]"
20309,2.25,1.265793800354004,[-12.79649312   1.76461653 138.5       ],"(-7, 0, 13)",[16  0 30 14],"[[10.   0.7]
 [ 0.   0.3]
 [ 0.   0.3]
 [10.   0.3]]"
20726,2.1,1.3207566738128662,[-12.80653076   0.61295267 138.5       ],"(-7, 0, 13)",[11 23 20 13],"[[ 0.   0.3]
 [ 0.   0.3]
 [10.   0.7]
 [ 0.   0.3]]"
21138,2.05,1.1108334064483643,[-13.63854022   0.5504523  136.5       ],"(-7, 0, 13)",[27  6 16  5],"[[-10.    0.7]
 [  0.    0.7]
 [ 10.    0.7]
 [-10.    0.7]]"
21564,1.95,1.1827960014343262,[-14.19246695  -0.95580027 142.        ],"(-8, -1, 14)",[20  4  0 11],"[[10.   0.7]
 [ 0.   0.7]
 [ 0.   0.3]
 [ 0.   0.3]]"
21982,1.95,1.0917558670043945,[-13.62018311  -0.35894351 139.        ],"(-7, -1, 13)",[17 16 27 18],"[[ 10.    0.7]
 [ 10.    0.7]
 [-10.    0.7]
 [ 10.    0.7]]"
22406,2.13,1.249817132949829,[-14.21191193  -0.69597074 143.5       ],"(-8, -1, 14)",[11 20  7 23],"[[  0.    0.3]
 [ 10.    0.7]
 [-10.    0.7]
 [  0.    0.3]]"
22826,2.04,1.0981426239013672,[-14.14498086  -0.14973995 141.        ],"(-8, -1, 14)",[16 27  6 17],"[[ 10.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [ 10.    0.7]]"
23242,2.04,1.263033390045166,[-14.1794576   -0.43292646 140.        ],"(-8, -1, 14)",[20 11 23 25],"[[10.   0.7]
 [ 0.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]]"
23676,1.88,1.1352591514587402,[-12.89621199   0.88694377 146.        ],"(-7, 0, 14)",[ 0 16 18 17],"[[ 0.   0.3]
 [10.   0.7]
 [10.   0.7]
 [10.   0.7]]"
24084,1.94,1.2248854637145996,[-13.0105147    0.44244886 138.        ],"(-7, 0, 13)",[20 13 23 24],"[[10.   0.7]
 [ 0.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]]"
24508,2.03,1.1807961463928223,[-15.29464799  -1.09223793 138.        ],"(-8, -1, 13)",[27  6  0 30],"[[-10.    0.7]
 [  0.    0.7]
 [  0.    0.3]
 [  0.    0.3]]"
24925,1.89,1.1903228759765625,[-13.59005401   0.18605981 138.        ],"(-7, 0, 13)",[20 13  7 24],"[[ 10.    0.7]
 [  0.    0.3]
 [-10.    0.7]
 [  0.    0.3]]"
25342,1.88,1.0639863014221191,[-13.83761851   0.39300922 138.5       ],"(-7, 0, 13)",[17  6 16 27],"[[ 10.    0.7]
 [  0.    0.7]
 [ 10.    0.7]
 [-10.    0.7]]"
25770,1.93,1.1893644332885742,[-13.76312031  -0.23928314 144.5       ],"(-7, -1, 14)",[20  7 13  0],"[[ 10.    0.7]
 [-10.    0.7]
 [  0.    0.3]
 [  0.    0.3]]"
