update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R,replayed_bins_task_label_R
18452,1.31,1.2892587184906006,[-12.80606891   0.98287209 109.5       ],"(-7, 0, 10)",[11 23 14  1],"[[-10.    0.3]
 [-10.    0.3]
 [ 10.    0.3]
 [  0.    0.3]]"
18784,1.23,1.2168896198272705,[-12.87051457   2.10835351 108.        ],"(-7, 1, 10)",[30  0 16 31],"[[ 0.   0.7]
 [ 0.   0.3]
 [10.   0.7]
 [ 0.   0.7]]"
19107,1.24,1.2211472988128662,[-13.04242421   1.9689083  106.        ],"(-7, 0, 10)",[11 18 17  1],"[[-10.    0.3]
 [ 10.    0.7]
 [ 10.    0.7]
 [  0.    0.3]]"
19438,1.13,1.1141688823699951,[-12.34462566   2.97789804 109.5       ],"(-7, 1, 10)",[16 30  0  8],"[[ 10.    0.7]
 [  0.    0.7]
 [  0.    0.3]
 [-10.    0.7]]"
19767,1.2,1.1886756420135498,[-11.92488038   3.01749377 111.        ],"(-6, 1, 11)",[11 17 18 14],"[[-10.    0.3]
 [ 10.    0.7]
 [ 10.    0.7]
 [ 10.    0.3]]"
20102,1.18,1.1667568683624268,[-12.35407755   3.92307764 110.5       ],"(-7, 1, 11)",[25 16  0  8],"[[-10.    0.3]
 [ 10.    0.7]
 [  0.    0.3]
 [-10.    0.7]]"
20428,1.23,1.2122387886047363,[-12.678039     2.74874205 108.5       ],"(-7, 1, 10)",[11 17 18 14],"[[-10.    0.3]
 [ 10.    0.7]
 [ 10.    0.7]
 [ 10.    0.3]]"
20760,1.16,1.1447291374206543,[-12.47845536   4.75193794 112.        ],"(-7, 2, 11)",[16  0 30  8],"[[ 10.    0.7]
 [  0.    0.3]
 [  0.    0.7]
 [-10.    0.7]]"
21088,1.34,1.3189988136291504,[-12.32201809   4.68198405 108.        ],"(-7, 2, 10)",[11 17 14  1],"[[-10.    0.3]
 [ 10.    0.7]
 [ 10.    0.3]
 [  0.    0.3]]"
21421,1.24,1.2224981784820557,[-11.37589267   5.60367664 110.5       ],"(-6, 2, 11)",[16  0  8 25],"[[ 10.    0.7]
 [  0.    0.3]
 [-10.    0.7]
 [-10.    0.3]]"
21754,1.3,1.2869653701782227,[-12.10744018   3.73468181 113.        ],"(-7, 1, 11)",[11  1 14 23],"[[-10.    0.3]
 [  0.    0.3]
 [ 10.    0.3]
 [-10.    0.3]]"
22081,1.18,1.166229486465454,[-12.89542592   3.40736443 107.        ],"(-7, 1, 10)",[ 0 16  8 25],"[[  0.    0.3]
 [ 10.    0.7]
 [-10.    0.7]
 [-10.    0.3]]"
22408,1.36,1.3390252590179443,[-12.72211882   3.12560572 107.        ],"(-7, 1, 10)",[11 23 24  1],"[[-10.    0.3]
 [-10.    0.3]
 [-10.    0.3]
 [  0.    0.3]]"
22742,1.26,1.244586706161499,[-12.43335381   5.10850247 109.5       ],"(-7, 2, 10)",[ 0 25 22  8],"[[  0.    0.3]
 [-10.    0.3]
 [-10.    0.3]
 [-10.    0.7]]"
23065,1.19,1.1754248142242432,[-11.17604364   5.14721498 108.        ],"(-6, 2, 10)",[11 17 18 24],"[[-10.    0.3]
 [ 10.    0.7]
 [ 10.    0.7]
 [-10.    0.3]]"
23402,1.19,1.176384449005127,[-12.21820388   4.25724095 110.        ],"(-7, 2, 11)",[ 0 16 25  8],"[[  0.    0.3]
 [ 10.    0.7]
 [-10.    0.3]
 [-10.    0.7]]"
23730,1.23,1.212629795074463,[-10.95319106   5.62748437 111.        ],"(-6, 2, 11)",[11 14 17  1],"[[-10.    0.3]
 [ 10.    0.3]
 [ 10.    0.7]
 [  0.    0.3]]"
24065,1.12,1.1048939228057861,[-11.72246866   5.12555209 110.5       ],"(-6, 2, 11)",[ 0 16 27  7],"[[  0.    0.3]
 [ 10.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
24396,1.25,1.236696481704712,[-12.34904847   4.72461695 111.5       ],"(-7, 2, 11)",[11 18 23 14],"[[-10.    0.3]
 [ 10.    0.7]
 [-10.    0.3]
 [ 10.    0.3]]"
24720,1.2,1.187568187713623,[-11.84165329   5.06065404 108.        ],"(-6, 2, 10)",[16  0  8 25],"[[ 10.    0.7]
 [  0.    0.3]
 [-10.    0.7]
 [-10.    0.3]]"
25050,1.34,1.319840908050537,[-11.39725364   5.77125695 111.        ],"(-6, 2, 11)",[11 14  1 23],"[[-10.    0.3]
 [ 10.    0.3]
 [  0.    0.3]
 [-10.    0.3]]"
25382,1.14,1.1254127025604248,[-11.76216365   4.76528905 109.        ],"(-6, 2, 10)",[19  0 16  8],"[[ 10.    0.7]
 [  0.    0.3]
 [ 10.    0.7]
 [-10.    0.7]]"
25707,1.37,1.3522047996520996,[-10.89289055   6.34458146 108.5       ],"(-6, 3, 10)",[11 24  1 17],"[[-10.    0.3]
 [-10.    0.3]
 [  0.    0.3]
 [ 10.    0.7]]"
26032,1.23,1.2146658897399902,[-11.7700353    4.86913755 105.5       ],"(-6, 2, 10)",[ 0 16 25 22],"[[  0.    0.3]
 [ 10.    0.7]
 [-10.    0.3]
 [-10.    0.3]]"
26361,1.29,1.2760493755340576,[-11.67219373   4.69193592 110.5       ],"(-6, 2, 11)",[11 24 23 14],"[[-10.    0.3]
 [-10.    0.3]
 [-10.    0.3]
 [ 10.    0.3]]"
26698,1.19,1.178161859512329,[-12.10389926   3.19212975 114.        ],"(-7, 1, 11)",[ 0 25 19 16],"[[  0.    0.3]
 [-10.    0.3]
 [ 10.    0.7]
 [ 10.    0.7]]"
