update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L
910,1.61,0.6782243251800537,None,"('N', 'o', 'n', 'e')",None
1228,0.54,0.5283114910125732,None,"('N', 'o', 'n', 'e')",None
1567,0.53,0.5138471126556396,None,"('N', 'o', 'n', 'e')",None
1902,0.53,0.5155467987060547,None,"('N', 'o', 'n', 'e')",None
2234,0.54,0.5226600170135498,None,"('N', 'o', 'n', 'e')",None
2566,0.53,0.5146224498748779,None,"('N', 'o', 'n', 'e')",None
2900,0.54,0.5261192321777344,None,"('N', 'o', 'n', 'e')",None
3216,0.52,0.5055282115936279,None,"('N', 'o', 'n', 'e')",None
3549,0.52,0.5013089179992676,None,"('N', 'o', 'n', 'e')",None
3877,0.51,0.49777889251708984,None,"('N', 'o', 'n', 'e')",None
