update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
891,1.99,0.8703672885894775,[-17.4363338   -1.94581844 113.5       ],"(-9, -1, 11)","[0, 2, 1]","[(0, 0.3), (0, 0.3), (0, 0.3)]"
1222,0.71,0.6982583999633789,[-13.06309218   2.49615926 109.5       ],"(-7, 1, 10)","[4, 0, 1]","[(0, 0.7), (0, 0.3), (0, 0.3)]"
1555,0.72,0.6989834308624268,[-12.82370442  -0.33735963 112.        ],"(-7, -1, 11)","[0, 2, 5]","[(0, 0.3), (0, 0.3), (0, 0.7)]"
1886,0.83,0.8174607753753662,[-12.72806499   1.4806811  110.        ],"(-7, 0, 11)","[4, 1, 6, 0]","[(0, 0.7), (0, 0.3), (0, 0.7), (0, 0.3)]"
2208,0.8,0.7792088985443115,[-12.06645872   0.77381048 110.        ],"(-7, 0, 11)","[0, 2, 1]","[(0, 0.3), (0, 0.3), (0, 0.3)]"
2540,0.56,0.5424537658691406,[-11.17379197   1.15640055 110.5       ],"(-6, 0, 11)","[1, 4]","[(0, 0.3), (0, 0.7)]"
2871,0.73,0.7124249935150146,[-12.87931436  -0.32845381 111.        ],"(-7, -1, 11)","[0, 2, 7]","[(0, 0.3), (0, 0.3), (0, 0.7)]"
3200,0.5,0.47977542877197266,[-12.32600945   0.84548637 110.5       ],"(-7, 0, 11)",[1],"[(0, 0.3)]"
3531,0.78,0.7667677402496338,[-11.66166711   0.57997866 110.        ],"(-6, 0, 11)","[7, 1, 0]","[(0, 0.7), (0, 0.3), (0, 0.3)]"
3857,0.77,0.7579295635223389,[-13.05118149  -0.39014428 109.        ],"(-7, -1, 10)","[4, 5, 1, 7]","[(0, 0.7), (0, 0.7), (0, 0.3), (0, 0.7)]"
