update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R
976,1.59,0.5241808891296387,None,"('N', 'o', 'n', 'e')",None
1312,0.53,0.5146574974060059,None,"('N', 'o', 'n', 'e')",None
1640,0.53,0.516481876373291,None,"('N', 'o', 'n', 'e')",None
1969,0.53,0.5185730457305908,None,"('N', 'o', 'n', 'e')",None
2306,0.53,0.5167627334594727,None,"('N', 'o', 'n', 'e')",None
2626,0.53,0.5183775424957275,None,"('N', 'o', 'n', 'e')",None
2954,0.53,0.5162935256958008,None,"('N', 'o', 'n', 'e')",None
3284,0.53,0.509918212890625,None,"('N', 'o', 'n', 'e')",None
3613,0.53,0.5084271430969238,None,"('N', 'o', 'n', 'e')",None
3952,0.55,0.5308725833892822,None,"('N', 'o', 'n', 'e')",None
