update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R
978,0.82,0.21707391738891602,None,"('N', 'o', 'n', 'e')",None
1309,0.25,0.23389506340026855,None,"('N', 'o', 'n', 'e')",None
1648,0.26,0.24688100814819336,None,"('N', 'o', 'n', 'e')",None
1968,0.24,0.22701311111450195,None,"('N', 'o', 'n', 'e')",None
2298,0.26,0.24713397026062012,None,"('N', 'o', 'n', 'e')",None
2626,0.24,0.22761774063110352,None,"('N', 'o', 'n', 'e')",None
2959,0.27,0.25304293632507324,None,"('N', 'o', 'n', 'e')",None
3289,0.24,0.22758102416992188,None,"('N', 'o', 'n', 'e')",None
3618,0.24,0.22314786911010742,None,"('N', 'o', 'n', 'e')",None
3950,0.26,0.23844146728515625,None,"('N', 'o', 'n', 'e')",None
