update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
896,2.62,1.5525410175323486,[-17.4363338   -1.94581844 109.5       ],"(-9, -1, 10)",[29 22 23 26],"[[  0.    0.3]
 [  0.    0.3]
 [  0.    0.3]
 [-10.    0.3]]"
1229,2.02,1.368596076965332,[-12.9338152    1.17127193 112.5       ],"(-7, 0, 11)",[32 24 34 26],"[[  0.    0.3]
 [  0.    0.3]
 [  0.    0.3]
 [-10.    0.3]]"
1557,1.45,1.3591105937957764,[-10.71328969   4.06708827 108.5       ],"(-6, 2, 10)",[29 23 33 11],"[[ 0.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]
 [10.   0.3]]"
1886,1.39,1.3771135807037354,[-11.19618362   3.26377083 112.        ],"(-6, 1, 11)",[32 13 25 37],"[[ 0.   0.3]
 [10.   0.3]
 [ 0.   0.3]
 [ 0.   0.7]]"
2213,1.39,1.3746886253356934,[-10.47157098   3.29291328 110.        ],"(-6, 1, 11)",[18 15 22 23],"[[10.   0.7]
 [10.   0.7]
 [ 0.   0.3]
 [ 0.   0.3]]"
2537,1.42,1.4075775146484375,[ -8.66603172   4.33138477 108.5       ],"(-5, 2, 10)",[32 24 13 34],"[[ 0.   0.3]
 [ 0.   0.3]
 [10.   0.3]
 [ 0.   0.3]]"
2878,1.44,1.4196321964263916,[-10.63053069   5.01593971 112.        ],"(-6, 2, 11)",[33 23 11  1],"[[ 0.   0.3]
 [ 0.   0.3]
 [10.   0.3]
 [ 0.   0.3]]"
3208,1.44,1.422976016998291,[ -9.97126698   4.24356881 107.5       ],"(-5, 2, 10)",[32 13 24 22],"[[ 0.   0.3]
 [10.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]]"
3533,1.39,1.3700549602508545,[ -9.94220401   3.98841664 108.        ],"(-5, 1, 10)",[33 22 23 32],"[[0.  0.3]
 [0.  0.3]
 [0.  0.3]
 [0.  0.3]]"
3862,1.41,1.3941020965576172,[ -9.99480052   4.39519416 110.        ],"(-5, 2, 11)",[32 24 33 14],"[[0.  0.3]
 [0.  0.3]
 [0.  0.3]
 [0.  0.3]]"
