update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
13611,1.95,1.2471811771392822,[-10.53676442   4.01594917 147.5       ],"(-6, 2, 14)",[11 23 30 15],"[[ 10.    0.3]
 [  0.    0.3]
 [-10.    0.7]
 [ 10.    0.7]]"
13989,2.17,1.2933878898620605,[-11.01978988   2.46466605 116.        ],"(-6, 1, 11)",[29 22  2 32],"[[  0.    0.3]
 [-10.    0.3]
 [  0.    0.3]
 [  0.    0.3]]"
14417,2.22,1.243177890777588,[-10.35951798   4.56942398 145.        ],"(-6, 2, 14)",[21 29  0 18],"[[10.   0.7]
 [ 0.   0.3]
 [ 0.   0.3]
 [10.   0.7]]"
14860,2.14,1.3427515029907227,[-10.82616045   3.7158293  144.5       ],"(-6, 1, 14)",[29 22 26 11],"[[  0.    0.3]
 [-10.    0.3]
 [-10.    0.3]
 [ 10.    0.3]]"
15276,2.1,1.297192096710205,[-10.7432885    4.18899543 137.        ],"(-6, 2, 13)",[ 0 13 29 21],"[[ 0.   0.3]
 [10.   0.3]
 [ 0.   0.3]
 [10.   0.7]]"
15703,2.2,1.3677372932434082,[-10.78656831   3.91109324 144.5       ],"(-6, 1, 14)",[29  0 22  2],"[[  0.    0.3]
 [  0.    0.3]
 [-10.    0.3]
 [  0.    0.3]]"
16095,2.19,1.3204867839813232,[ -9.54429926   4.19301629 131.5       ],"(-5, 2, 13)",[ 3 29 22 24],"[[  0.    0.3]
 [  0.    0.3]
 [-10.    0.3]
 [  0.    0.3]]"
16535,2.17,1.3219435214996338,[-10.36432239   3.89913257 144.5       ],"(-6, 1, 14)",[ 0 21  2 32],"[[ 0.   0.3]
 [10.   0.7]
 [ 0.   0.3]
 [ 0.   0.3]]"
16963,2.17,1.2146780490875244,[-10.12601378   4.48728885 140.        ],"(-6, 2, 14)",[29  3 23 18],"[[ 0.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]
 [10.   0.7]]"
17370,2.14,1.375473976135254,[-10.61308168   4.20202515 136.5       ],"(-6, 2, 13)",[32  2 13 24],"[[ 0.   0.3]
 [ 0.   0.3]
 [10.   0.3]
 [ 0.   0.3]]"
17788,2.03,1.2290070056915283,[ -9.2730641    5.22503148 142.5       ],"(-5, 2, 14)",[29  3 18 15],"[[ 0.   0.3]
 [ 0.   0.3]
 [10.   0.7]
 [10.   0.7]]"
18214,2.14,1.3943369388580322,[-12.58042823   1.5335757  145.5       ],"(-7, 0, 14)",[ 2 13 32 24],"[[ 0.   0.3]
 [10.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]]"
18639,2.02,1.2555253505706787,[-10.9537784    3.07759169 143.5       ],"(-6, 1, 14)",[25 29  3 18],"[[ 0.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]
 [10.   0.7]]"
19066,2.21,1.35300874710083,[-13.13754975   0.2018427  144.5       ],"(-7, 0, 14)",[ 2 32 24 28],"[[  0.    0.3]
 [  0.    0.3]
 [  0.    0.3]
 [-10.    0.7]]"
19481,2.13,1.361396074295044,[-10.93557027   3.18512039 135.5       ],"(-6, 1, 13)",[25 29  3 22],"[[0.  0.3]
 [0.  0.3]
 [0.  0.3]
 [0.  0.3]]"
19900,2.06,1.3438937664031982,[-10.76917535   3.76093897 140.        ],"(-6, 1, 14)",[32 24 13 17],"[[ 0.   0.3]
 [ 0.   0.3]
 [10.   0.3]
 [10.   0.7]]"
20314,2.02,1.2276380062103271,[-10.59839037   4.98785974 138.        ],"(-6, 2, 13)",[29 22 18  3],"[[ 0.   0.3]
 [ 0.   0.3]
 [10.   0.7]
 [ 0.   0.3]]"
20742,2.04,1.2889680862426758,[-10.18688087   3.81476233 141.5       ],"(-6, 1, 14)",[32 24 28 33],"[[  0.    0.3]
 [  0.    0.3]
 [-10.    0.7]
 [  0.    0.3]]"
21165,2.08,1.253532886505127,[-10.13914995   3.93693742 142.5       ],"(-6, 1, 14)",[29  3 22 15],"[[ 0.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]
 [10.   0.7]]"
21584,1.95,1.3007826805114746,[-10.27816215   4.63710941 143.        ],"(-6, 2, 14)",[32 24  0 17],"[[ 0.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]
 [10.   0.7]]"
21995,2.13,1.2723760604858398,[ -9.98395853   5.32332418 137.5       ],"(-5, 2, 13)",[29 18 19 22],"[[ 0.   0.3]
 [10.   0.7]
 [10.   0.7]
 [ 0.   0.3]]"
22421,2.15,1.3586585521697998,[-11.83475144   3.76660263 140.        ],"(-6, 1, 14)",[32 24  0 25],"[[0.  0.3]
 [0.  0.3]
 [0.  0.3]
 [0.  0.3]]"
22833,2.04,1.2304401397705078,[-11.99826289   2.80362773 139.5       ],"(-6, 1, 13)",[29 19 16 22],"[[ 0.   0.3]
 [10.   0.7]
 [10.   0.7]
 [ 0.   0.3]]"
23251,2.09,1.3629214763641357,[-10.48843664   3.95407152 136.        ],"(-6, 1, 13)",[32  0 24 25],"[[0.  0.3]
 [0.  0.3]
 [0.  0.3]
 [0.  0.3]]"
23666,2.1,1.2049388885498047,[ -9.67819722   5.86502809 135.        ],"(-5, 2, 13)",[29 22 15 19],"[[ 0.   0.3]
 [ 0.   0.3]
 [10.   0.7]
 [10.   0.7]]"
24111,2.37,1.40799880027771,[ -9.46771947   4.98776978 148.        ],"(-5, 2, 14)",[32  0 24 25],"[[0.  0.3]
 [0.  0.3]
 [0.  0.3]
 [0.  0.3]]"
24517,2.18,1.3001420497894287,[ -9.57131169   6.31256509 143.        ],"(-5, 3, 14)",[29 22 19  1],"[[ 0.   0.3]
 [ 0.   0.3]
 [10.   0.7]
 [ 0.   0.3]]"
24927,2.2,1.3367702960968018,[-11.92182649   2.09091257 139.        ],"(-6, 1, 13)",[32 13  0 24],"[[ 0.   0.3]
 [10.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]]"
25354,2.07,1.27752685546875,[-12.84956201   2.03838733 143.5       ],"(-7, 1, 14)",[29 22 18 26],"[[  0.    0.3]
 [  0.    0.3]
 [ 10.    0.7]
 [-10.    0.3]]"
25783,2.28,1.4036381244659424,[-10.70101677   3.55963774 139.5       ],"(-6, 1, 13)",[24  0 32 14],"[[0.  0.3]
 [0.  0.3]
 [0.  0.3]
 [0.  0.3]]"
26190,2.15,1.3311293125152588,[ -9.93678736   4.93763794 135.5       ],"(-5, 2, 13)",[29 14  1 11],"[[ 0.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]
 [10.   0.3]]"
26616,2.11,1.2857956886291504,[-1.47150246e+01 -2.42460284e-02  1.38500000e+02],"(-8, -1, 13)",[32 25 24 21],"[[ 0.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]
 [10.   0.7]]"
27035,2.13,1.215500831604004,[ -9.89221421   5.62834326 140.        ],"(-5, 2, 14)",[29 19 22 15],"[[ 0.   0.3]
 [10.   0.7]
 [ 0.   0.3]
 [10.   0.7]]"
27453,2.17,1.3470938205718994,[-11.04555488   3.407455   141.5       ],"(-6, 1, 14)",[32  0 24 25],"[[0.  0.3]
 [0.  0.3]
 [0.  0.3]
 [0.  0.3]]"
27877,1.9,1.1392693519592285,[-11.86384927   3.6366557  136.5       ],"(-6, 1, 13)",[29 19 15 16],"[[ 0.   0.3]
 [10.   0.7]
 [10.   0.7]
 [10.   0.7]]"
28291,2.14,1.2974231243133545,[-10.0847375    4.78229474 140.        ],"(-6, 2, 14)",[32 29 13 24],"[[ 0.   0.3]
 [ 0.   0.3]
 [10.   0.3]
 [ 0.   0.3]]"
28715,2.28,1.307589054107666,[-10.1956136    5.05106254 135.5       ],"(-6, 2, 13)",[29 33 25 26],"[[  0.    0.3]
 [  0.    0.3]
 [  0.    0.3]
 [-10.    0.3]]"
29128,2.22,1.4381325244903564,[-10.26820252   5.31495154 140.        ],"(-6, 2, 14)",[32 13 24 25],"[[ 0.   0.3]
 [10.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]]"
29543,2.27,1.2696304321289062,[-12.65058135   3.07326456 136.5       ],"(-7, 1, 13)",[29 23 33 18],"[[ 0.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]
 [10.   0.7]]"
29965,2.17,1.360917329788208,[-10.55497377   4.2712966  141.5       ],"(-6, 2, 14)",[32 13 26 24],"[[  0.    0.3]
 [ 10.    0.3]
 [-10.    0.3]
 [  0.    0.3]]"
30389,2.22,1.3044204711914062,[-11.47487674   4.38194302 140.5       ],"(-6, 2, 14)",[29 23 11 33],"[[ 0.   0.3]
 [ 0.   0.3]
 [10.   0.3]
 [ 0.   0.3]]"
30808,2.09,1.373023509979248,[-10.51097713   4.80427748 143.        ],"(-6, 2, 14)",[32 13 24 29],"[[ 0.   0.3]
 [10.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]]"
