update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R,replayed_bins_task_label_R
23086,1.14,1.1229300498962402,[-10.28255734   7.09438784 112.5       ],"(-6, 3, 11)",[17  7 18 14],"[[10.   0.7]
 [ 0.   0.7]
 [10.   0.7]
 [10.   0.3]]"
23407,1.11,1.0971753597259521,[ -9.61515459   6.86134797 107.5       ],"(-5, 3, 10)",[20  5 27 12],"[[10.   0.7]
 [ 0.   0.7]
 [ 0.   0.7]
 [10.   0.3]]"
23727,1.09,1.0709912776947021,[ -9.17525791   8.01208909 106.        ],"(-5, 4, 10)",[ 7 17 18 22],"[[  0.    0.7]
 [ 10.    0.7]
 [ 10.    0.7]
 [-10.    0.3]]"
24064,1.12,1.1061420440673828,[ -7.97078874   8.55462524 112.5       ],"(-4, 4, 11)",[20 27  5 12],"[[10.   0.7]
 [ 0.   0.7]
 [ 0.   0.7]
 [10.   0.3]]"
24394,1.11,1.0962648391723633,[ -8.87224812   8.55180545 107.5       ],"(-5, 4, 10)",[ 7 17 21 14],"[[  0.    0.7]
 [ 10.    0.7]
 [-10.    0.3]
 [ 10.    0.3]]"
24722,1.02,1.0079092979431152,[ -7.94994435   7.95571895 105.        ],"(-4, 3, 10)",[20 27  5 25],"[[10.   0.7]
 [ 0.   0.7]
 [ 0.   0.7]
 [ 0.   0.7]]"
25055,1.1,1.0860095024108887,[ -7.73049747   9.37657301 112.        ],"(-4, 4, 11)",[ 8 17  7 18],"[[ 0.   0.7]
 [10.   0.7]
 [ 0.   0.7]
 [10.   0.7]]"
25391,1.11,1.090693712234497,[ -9.37730051   7.89522518 111.5       ],"(-5, 3, 11)",[20 27  5 12],"[[10.   0.7]
 [ 0.   0.7]
 [ 0.   0.7]
 [10.   0.3]]"
25715,1.1,1.0852606296539307,[ -9.11529047   8.6113347  107.        ],"(-5, 4, 10)",[ 8 17 14 22],"[[  0.    0.7]
 [ 10.    0.7]
 [ 10.    0.3]
 [-10.    0.3]]"
26044,1.04,1.0235719680786133,[ -6.9768534    9.84752975 108.        ],"(-4, 4, 10)",[20 27  7  5],"[[10.   0.7]
 [ 0.   0.7]
 [ 0.   0.7]
 [ 0.   0.7]]"
26370,1.1,1.0857057571411133,[ -9.49785532   8.30893615 109.        ],"(-5, 4, 10)",[ 8 17 14 24],"[[ 0.   0.7]
 [10.   0.7]
 [10.   0.3]
 [ 0.   0.7]]"
26697,1.2,1.1804280281066895,[ -9.9218406    7.41622001 109.5       ],"(-5, 3, 10)",[20 27 12  0],"[[10.   0.7]
 [ 0.   0.7]
 [10.   0.3]
 [ 0.   0.3]]"
27037,1.16,1.1467475891113281,[-10.2118746    6.39310037 107.5       ],"(-6, 3, 10)",[ 8 22  3 21],"[[  0.    0.7]
 [-10.    0.3]
 [-10.    0.3]
 [-10.    0.3]]"
27372,1.12,1.1077156066894531,[ -8.79626004   8.58435305 111.        ],"(-5, 4, 11)",[20 12  7  0],"[[10.   0.7]
 [10.   0.3]
 [ 0.   0.7]
 [ 0.   0.3]]"
27694,1.06,1.0441253185272217,[ -8.59135684   7.91347664 108.5       ],"(-5, 3, 10)",[ 8 17 18 14],"[[ 0.   0.7]
 [10.   0.7]
 [10.   0.7]
 [10.   0.3]]"
28032,1.16,1.139040470123291,[ -8.79488594   8.81158375 112.5       ],"(-5, 4, 11)",[20 22 21  7],"[[ 10.    0.7]
 [-10.    0.3]
 [-10.    0.3]
 [  0.    0.7]]"
28361,1.12,1.1036221981048584,[ -8.20199872   9.19682054 112.5       ],"(-5, 4, 11)",[ 8  0 14 17],"[[ 0.   0.7]
 [ 0.   0.3]
 [10.   0.3]
 [10.   0.7]]"
28697,1.16,1.1478312015533447,[ -9.08800995   7.50128517 116.        ],"(-5, 3, 11)",[20 12  7 22],"[[ 10.    0.7]
 [ 10.    0.3]
 [  0.    0.7]
 [-10.    0.3]]"
29018,1.14,1.1238517761230469,[ -9.55555305   6.79901592 108.        ],"(-5, 3, 10)",[ 8  5 14 21],"[[  0.    0.7]
 [  0.    0.7]
 [ 10.    0.3]
 [-10.    0.3]]"
29347,1.09,1.075812578201294,[-10.41775324   3.92155959 110.5       ],"(-6, 1, 11)",[30  8  0  7],"[[0.  0.7]
 [0.  0.7]
 [0.  0.3]
 [0.  0.7]]"
29672,1.04,1.0272045135498047,[-11.21089961   4.20583747 107.5       ],"(-6, 2, 10)",[31 20  5  7],"[[ 0.   0.7]
 [10.   0.7]
 [ 0.   0.7]
 [ 0.   0.7]]"
29994,1.06,1.0439672470092773,[-11.14981306   7.59076219 105.        ],"(-6, 3, 10)",[30  8  6 19],"[[0.  0.7]
 [0.  0.7]
 [0.  0.7]
 [0.  0.7]]"
30332,1.06,1.0476429462432861,[ -8.30031262   7.36145859 112.5       ],"(-5, 3, 11)",[27 31 20  5],"[[ 0.   0.7]
 [ 0.   0.7]
 [10.   0.7]
 [ 0.   0.7]]"
30665,1.13,1.1155781745910645,[ -8.97943044   8.12110827 109.5       ],"(-5, 4, 10)",[22 30 28  6],"[[-10.    0.3]
 [  0.    0.7]
 [  0.    0.7]
 [  0.    0.7]]"
