update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
894,2.71,1.6097674369812012,[-17.4363338   -1.94581844 105.5       ],"(-9, -1, 10)",[ 3 28  0 15],"[[-10.    0.3]
 [-10.    0.7]
 [  0.    0.3]
 [  0.    0.3]]"
1216,1.99,1.2268409729003906,[ -6.78556614   4.08687768 106.        ],"(-4, 2, 10)",[32  3 15 29],"[[ 10.    0.7]
 [-10.    0.3]
 [  0.    0.3]
 [-10.    0.7]]"
1540,1.21,1.1945290565490723,[ -5.19079707   5.80917668 108.        ],"(-3, 2, 10)",[ 3 28 33  9],"[[-10.    0.3]
 [-10.    0.7]
 [ 10.    0.7]
 [ 10.    0.7]]"
1871,1.17,1.1528091430664062,[ -4.86616516   5.53001605 105.        ],"(-3, 2, 10)",[33 32  3 29],"[[ 10.    0.7]
 [ 10.    0.7]
 [-10.    0.3]
 [-10.    0.7]]"
2198,1.29,1.2749519348144531,[ -8.05323224   4.09674642 109.5       ],"(-5, 2, 10)",[ 3 28 15 33],"[[-10.    0.3]
 [-10.    0.7]
 [  0.    0.3]
 [ 10.    0.7]]"
2516,1.3,1.2847959995269775,[ -9.45487825   4.39133076 107.5       ],"(-5, 2, 10)",[ 3 15 28  9],"[[-10.    0.3]
 [  0.    0.3]
 [-10.    0.7]
 [ 10.    0.7]]"
2841,1.35,1.3346903324127197,[ -7.31212701   3.73105625 109.5       ],"(-4, 1, 10)",[33 15  3 29],"[[ 10.    0.7]
 [  0.    0.3]
 [-10.    0.3]
 [-10.    0.7]]"
3180,1.39,1.37300705909729,[ -7.84979509   4.15925574 113.        ],"(-4, 2, 11)",[ 3 28 15  9],"[[-10.    0.3]
 [-10.    0.7]
 [  0.    0.3]
 [ 10.    0.7]]"
3520,1.31,1.2979121208190918,[ -8.0795971    5.10641236 112.        ],"(-5, 2, 11)",[33 29 15  3],"[[ 10.    0.7]
 [-10.    0.7]
 [  0.    0.3]
 [-10.    0.3]]"
3854,1.36,1.3437962532043457,[ -7.68879684   3.84197593 112.        ],"(-4, 1, 11)",[ 3 15 28  5],"[[-10.    0.3]
 [  0.    0.3]
 [-10.    0.7]
 [  0.    0.3]]"
