update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L
1000,0.72,0.691880464553833,None,"('N', 'o', 'n', 'e')",None
1423,0.58,0.5163869857788086,None,"('N', 'o', 'n', 'e')",None
1837,0.64,0.5088415145874023,None,"('N', 'o', 'n', 'e')",None
2263,0.59,0.49826502799987793,None,"('N', 'o', 'n', 'e')",None
2666,0.53,0.5019116401672363,None,"('N', 'o', 'n', 'e')",None
3094,0.63,0.5498366355895996,None,"('N', 'o', 'n', 'e')",None
3524,0.61,0.5314338207244873,None,"('N', 'o', 'n', 'e')",None
3950,0.67,0.5115704536437988,None,"('N', 'o', 'n', 'e')",None
