update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R
970,1.51,0.510878324508667,None,"('N', 'o', 'n', 'e')",None
1299,0.54,0.5261850357055664,None,"('N', 'o', 'n', 'e')",None
1614,0.52,0.5034072399139404,None,"('N', 'o', 'n', 'e')",None
1949,0.51,0.49517393112182617,None,"('N', 'o', 'n', 'e')",None
2286,0.56,0.5469646453857422,None,"('N', 'o', 'n', 'e')",None
2620,0.57,0.5545892715454102,None,"('N', 'o', 'n', 'e')",None
2948,0.56,0.5458791255950928,None,"('N', 'o', 'n', 'e')",None
3276,0.53,0.5114943981170654,None,"('N', 'o', 'n', 'e')",None
3602,0.53,0.5128076076507568,None,"('N', 'o', 'n', 'e')",None
3934,0.56,0.5436553955078125,None,"('N', 'o', 'n', 'e')",None
