update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R,replayed_bins_task_label_R
952,3.38,1.2745039463043213,[-17.4363338   -1.94581844 143.        ],"(-9, -1, 14)",[ 8  1 27 16],"[[ 0.   0.7]
 [ 0.   0.3]
 [ 0.   0.3]
 [10.   0.7]]"
1383,1.31,1.289313554763794,[ -9.84038583   8.02676359 146.        ],"(-5, 4, 14)",[29  6 22 15],"[[ 10.    0.3]
 [-10.    0.7]
 [  0.    0.3]
 [ 10.    0.7]]"
1791,1.29,1.2755467891693115,[ -8.38640972   9.11612238 133.        ],"(-5, 4, 13)",[ 8  2 27  1],"[[0.  0.7]
 [0.  0.3]
 [0.  0.3]
 [0.  0.3]]"
2203,1.34,1.3263800144195557,[-10.16716986   7.77208981 138.        ],"(-6, 3, 13)",[29  6 22 31],"[[ 10.    0.3]
 [-10.    0.7]
 [  0.    0.3]
 [ 10.    0.3]]"
2617,1.33,1.3142924308776855,[ -9.65435449   6.34863632 136.        ],"(-5, 3, 13)",[ 8 16  1 27],"[[ 0.   0.7]
 [10.   0.7]
 [ 0.   0.3]
 [ 0.   0.3]]"
3043,1.39,1.3756070137023926,[-10.31905849   6.86913514 143.5       ],"(-6, 3, 14)",[22  6  7 33],"[[  0.    0.3]
 [-10.    0.7]
 [-10.    0.7]
 [ 10.    0.3]]"
3456,1.33,1.3154549598693848,[ -9.0456033    6.69653768 140.5       ],"(-5, 3, 14)",[ 8 16 18 30],"[[ 0.   0.7]
 [10.   0.7]
 [10.   0.7]
 [10.   0.3]]"
